test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
13357,ANA PROFILE,,Anti Histones,392; 802,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
13357,ANA PROFILE,,Anti PCNA IgG,394; 803,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
13357,ANA PROFILE,,Anti Ribosome Protein IgG,395; 804,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
13357,ANA PROFILE,,Anti Centromere B,404; 419; 805; 2403,4 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
13357,ANA PROFILE,,Anti PM/Scl IgG,406; 807,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
13357,ANA PROFILE,,Anti Mitochondrial-M2 Ab (AMA-M2),410; 808,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
347,BILIRUBIN TOTAL,,Bilirubin Total,585; 614; 768; 788; 867; 928; 1124; 1424; 1462; 1466; 1501; 1738; 1779; 2015; 2062; 2064; 2278; 2528; 2546; 2727,20 master parameters share this normalized name (unit disambiguation narrowed to 20),medium
12190,A/G RATIO,,Total Protein,543; 569; 618; 846; 922; 1590; 1783; 2089; 2122; 2534; 2729,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12190,A/G RATIO,,Albumin,544; 570; 576; 1784; 1883; 2123; 2443,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12190,A/G RATIO,,Serum Globulin,848; 1393; 1407; 1832; 1946,5 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12190,A/G RATIO,,A/G Ratio,549; 572; 1123; 1593; 1643; 1793; 1947; 2125; 2365; 2445; 2913; 2915; 2916,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12191,24 Hours Urine Protein,,Urine Protein,1394; 1833; 1948; 2308,4 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12191,24 Hours Urine Protein,,Total Volume,139; 1395; 1949; 2072,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12192,Urine Albumin / Creatinine Ratio- ACR (Spot),,Creatinine (Spot Urine),127; 1406; 1729; 1837; 1958; 2180; 2230; 2261,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12201,BILIRUBIN CONJUGATED,,Bilirubin Conjugated,584; 910; 1617; 1626; 1660; 2490,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12202,BILIRUBIN UNCONJUGATED,,Bilirubin Unconjugated,586; 1616; 1670; 2511; 2530; 2922; 2923,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12203,Blood Glucose Fasting (FBS),,Blood Glucose Fasting,482; 607; 2917,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12204,Blood Sugar Random (RBS),,Blood Sugar Random,481; 2918; 2921,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12205,Blood Urea,,Urea,589; 633; 773; 1183; 1457; 1460; 1499; 1766; 1809; 2889,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12205,Blood Urea,,Blood Urea Nitrogen (BUN),590; 1402; 1627; 1767; 1786; 1845; 1865; 1877; 2040; 2192; 2933,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12206,Blood Urea Nitrogen (BUN),,Urea,589; 633; 773; 1183; 1457; 1460; 1499; 1766; 1809; 2889,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12206,Blood Urea Nitrogen (BUN),,Blood Urea Nitrogen (BUN),590; 1402; 1627; 1767; 1786; 1845; 1865; 1877; 2040; 2192; 2933,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12213,Cardiac Enzymes,,C.P.K,593; 871; 1403; 1467; 1886; 1953; 2222; 2265; 2547,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12213,Cardiac Enzymes,,SGOT (AST),599; 616; 868; 1464; 1503; 1634; 1781; 1887; 1982; 2550,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12213,Cardiac Enzymes,,L.D.H.,598; 872; 955; 1404; 1405; 1468; 1581; 1835; 1955; 2101; 2548,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12221,GLUCOSE TOLERANCE TEST (G.T.T),,Blood Glucose Fasting,482; 607; 2917,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12231,Urine Protein/ Creatinine Ratio (Spot),,Protein (Spot Urine),76; 1957; 2229,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12231,Urine Protein/ Creatinine Ratio (Spot),,Creatinine (Spot Urine),127; 1406; 1729; 1837; 1958; 2180; 2230; 2261,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12231,Urine Protein/ Creatinine Ratio (Spot),,Protein / Creatinine Ratio (Spot Urine),630; 1959; 2109,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12234,RFT (RENAL FUNCTION TEST),,Urea,589; 633; 773; 1183; 1457; 1460; 1499; 1766; 1809; 2889,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12234,RFT (RENAL FUNCTION TEST),,Blood Urea Nitrogen (BUN),590; 1402; 1627; 1767; 1786; 1845; 1865; 1877; 2040; 2192; 2933,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12234,RFT (RENAL FUNCTION TEST),,Creatinine,64; 66; 634; 925; 1082; 1184; 1458; 1459; 1461; 1500; 1768; 1772; 1810; 1878; 2041; 2059; 2301; 2446; 2522; 2764,20 master parameters share this normalized name (unit disambiguation narrowed to 20),medium
12234,RFT (RENAL FUNCTION TEST),,Uric Acid,358; 644; 696; 858; 1168; 1185; 1671; 1889; 2060; 2316; 2339; 2523; 2545; 2932,14 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12239,Serum Creatinine,,Creatinine,64; 66; 634; 925; 1082; 1184; 1458; 1459; 1461; 1500; 1768; 1772; 1810; 1878; 2041; 2059; 2301; 2446; 2522; 2764,20 master parameters share this normalized name (unit disambiguation narrowed to 20),medium
12239,Serum Creatinine,,Glomerular Filteration Rate (GFR),606; 1769; 1893; 1961; 2203; 2262,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12240,Serum Electrolyte,,Serum Sodium,475; 637; 1470; 1584; 1962; 2451; 2910,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12240,Serum Electrolyte,,Serum Potassium,12; 476; 638; 859; 1471; 1963; 2331; 2450; 2909,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12240,Serum Electrolyte,,Serum Chloride,477; 636; 860; 1960; 2449; 2908,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
