test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
12036,Stool for Occult Blood,,Stool for Occult Blood,336; 895; 1302; 1913,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
148,FREE T3,,Free T3,2; 362; 988; 1067; 1284; 1512; 1607; 1914,8 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12039,Free T3,,Free T3,2; 362; 988; 1067; 1284; 1512; 1607; 1914,8 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12040,Free T4,,FREE T4,3; 363; 989; 1068; 1285; 1513; 1608; 1719; 1825; 1851; 1872; 1915,12 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12041,FREE TESTOSTERONE,,Free Testosterone Serum,364; 1578; 2683,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12042,FSH,,FSH,28; 365; 1132; 1136; 1354; 1356; 1515; 1700; 1720; 2269; 2371; 2611; 2763,13 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12044,Intact parathyroid hormone (i PTH) (FASTING),,Intact Parathyroid Hormone (IPTH) (Fasting),367; 1826,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12045,LH,,LH,29; 368; 1133; 1135; 1699; 1916; 2096; 2237; 2268; 2610,10 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12047,PTH (FASTING),,PTH,370; 1283,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12048,Serum Prolactin,,Prolactin,26; 27; 369; 778; 985; 1281; 1357; 1522; 1559; 1701; 1721; 2090; 2172; 2242; 2613; 2718; 2742; 2832,18 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12049,Total T3,,T3,6; 10; 371; 776; 979; 1358; 1473; 1680; 1723; 1805; 2126; 2173; 2175; 2210; 2362; 2605; 2608; 2710,18 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12050,Total T4,,T4,9; 23; 372; 835; 980; 1474; 1558; 1610; 1722; 1724; 1806; 1917; 2127; 2166; 2174; 2209; 2606; 2714; 2780; 2802; 2826,21 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12051,Serum Testosterone,,Testosterone,373; 837; 984; 1521; 2165; 2221; 2612,7 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12053,TSH,,TSH,5; 11; 374; 777; 836; 981; 983; 1043; 1086; 1087; 1359; 1514; 1669; 1807; 1827; 2097; 2176; 2177; 2368; 2374; 2607; 2609; 2715; 2781; 2831,25 master parameters share this normalized name (unit disambiguation narrowed to 16),medium
12320,FREE T3,,FREE T3,2; 362; 988; 1067; 1284; 1512; 1607; 1914,8 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12321,FREE T4,,FREE T4,3; 363; 989; 1068; 1285; 1513; 1608; 1719; 1825; 1851; 1872; 1915,12 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
298,P.S.A. Total,,PSA (Prostate Specific Antigen) Total,41; 533; 1211; 1388; 1609; 1830; 1939; 2657,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12006,25-OH Vitamin D3,,25-OH Vitamin - D3,237; 1344,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12070,Adenosine Deaminase (ADA)- Serum,,Adenosine Deaminase (ADA),386; 799; 1525; 2396,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12073,ANCA - P (MPO ANTIBODIES),,ANCA-P (MPO Antibodies),412; 2401,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12074,ANCA-C (P-3 ANTIBODIES),,ANCA-C (P-3 Antibodies),413; 2402,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12078,ANTI CARDIOLIPIN IgG,,Anti Cardiolipin IgG,417; 1362; 1932; 2178; 2378; 2599,6 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12079,ANTI CARDIOLIPIN IgM,,Anti Cardiolipin IgM,418; 1363; 1933; 2377; 2600,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12082,Anti Endomysial IgG,,Anti Endomysial IgG,421; 2404,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12084,Anti Gliadin IgA,,Anti Gliadin IgA,423; 1364,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12088,ANTI HBC IgG,,Anti HBc IgG,431; 1174,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12089,ANTI HBc IgM,,Anti HBc IgM,432; 1175,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12095,ANTI KIDNEY LIVER MICROSOMAL ANTIBODIES,,Anti Kidney Liver Microsomal Antibodies (KLM),438; 2409,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12096,ANTI MITOCHONDRIAL ANTIBODY (A.M.A),,AMA (Anti Microsomal Antibodies) Blood,439; 919; 2672,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12097,Anti Mullerian Hormone (AMH),,Anti Mullerian Hormone (AMH),440; 949; 1134; 1444; 1537; 1726; 1829; 1934; 2084; 2225; 2487; 2779; 2833,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12099,ANTI PHOSPHOLIPID IgG,,Anti Phospholipid IgG,452; 2410,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12100,ANTI PHOSPHOLIPID IgM,,Anti Phospholipid IgM,453; 2411,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12101,ANTI SCL-70,,Anti SCL-70 IgG,454; 2412,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12102,ANTI SMOOTH MUSCLE Abs (A.S.M.A),,Anti Smooth Muscle Antibodies (SMA),455; 810,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12103,ANTI SPERM ANTI BODIES,,Anti Sperm Antibodies (Serum),456; 1324,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12106,BRUCELLA TEST (IgG),,Brucella IgG,467; 1143,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12107,BRUCELLA TEST (IgM),,Brucella IgM,468; 1144; 2328,3 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12108,C-Peptide Level (Fasting),,C-Peptide Level,469; 1221; 1375; 2194; 2556,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12109,CEA (Carcinoembryonic Antigen),,C.E.A,470; 2553; 2693,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12111,CMV IgG,,CMV IgG (Cytomegalovirus),479; 1941; 2144,3 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12112,CMV IgM,,CMV IgM (Cytomegalovirus),480; 1942; 2145,3 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12119,DENGUE IgG,,Dengue Virus (IgG),489; 1646; 1815; 2329; 2492,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12120,DENGUE IgM,,Dengue Virus (IgM),490; 1540; 1624; 1647; 2493,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12125,Estradiol,,Estradiol,497; 811; 1935; 2424,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12126,Estrogen,,Estrogen,498; 1376; 2709,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12127,F.D.P's (D-DIMER),,F.D.P's (D-DIMER),499; 974; 1274; 1377; 1600; 1625; 2275,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12130,Fibrinogen Level,,Fibrinogen Level,502; 1219; 1378; 2350; 2407,5 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12134,HBA1c,,HbA1c,506; 763; 874; 956; 1210; 1381; 1480; 1546; 1580; 1645; 1678; 1697; 1855; 1936; 2551; 2769,16 master parameters share this normalized name (unit disambiguation narrowed to 16),medium
12136,H. Pylori IgA,,Helicobacter Pylori Abs (IgA),507; 812; 1383; 1384; 2426; 2861,6 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12137,H. Pylori IgG,,Helicobacter Pylori Abs (IgG),508; 813; 1619; 1857; 2427; 2862,6 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12145,IgA Level,,IgA,517; 1385,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12147,IgM,,IgM,519; 829; 832; 1326; 2494; 2649,6 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12150,Insulin Growth Factor-1 (IGF-1),,Insulin Growth Factor-1 (IGF-1),521; 1386; 2431,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12151,IONIZED CALCIUM,,Ionized Calcium,522; 2249; 2254; 2432,4 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12157,MYCODOT (IgG),,MycoDot (IgG),530; 1612; 2314; 2436,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12158,MYCODOT (IgM),,MycoDot (IgM),531; 1613; 2315; 2437,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12160,Total PSA,,PSA (Prostate Specific Antigen) Total,41; 533; 1211; 1388; 1609; 1830; 1939; 2657,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12161,ProBNP (N-t) II,,ProBNP (N-t) II,42; 534; 816; 830; 1389; 1527; 1894; 2098; 2438; 2692,10 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12162,Procalcitonin (PCT),,Procalcitonin (PCT),535; 2439,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12166,QuantiFeron-TB Gold Test,,QuantiFeron-TB Gold Test,537; 1858; 2440,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12167,RUBELLA ANTIBODIES (IgG),,Rubella IgG,538; 1557; 1821; 2142; 2604; 2762,6 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12168,RUBELLA ANTIBODIES (IgM),,Rubella IgM,539; 1820; 2143; 2521,4 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12169,Serum Ferritin,,Serum Ferritin,540; 764; 916; 990; 1286; 1390; 1520; 1564; 1728; 1831; 1850; 1940; 2241; 2618,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
12170,Serum Insulin Level (FASTING),,Serum Insulin Level (Fasting),541; 1218; 1391,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12171,SERUM LITHIUM,,Serum Lithium,542; 1213,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12177,TPHA (Syphilis),,TPHA (Syphilis),553; 970; 1003; 1267; 1553; 2587,6 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12179,Troponin-T,,Troponin-T,556; 914; 1212; 1392; 1577; 1943; 2352,7 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12300,Troponin-I,,Troponin-I,4; 555; 1328; 1443; 1594; 2016; 2151; 2651,8 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12304,Anti Mullerian Hormone (AMH),,Anti Mullerian Hormone (AMH),440; 949; 1134; 1444; 1537; 1726; 1829; 1934; 2084; 2225; 2487; 2779; 2833,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
10545,SERUM CREATININE,,Creatinine,64; 66; 634; 925; 1082; 1184; 1458; 1459; 1461; 1500; 1768; 1772; 1810; 1878; 2041; 2059; 2301; 2446; 2522; 2764,20 master parameters share this normalized name (unit disambiguation narrowed to 20),medium
12193,Serum Albumin,,Albumin,544; 570; 576; 1784; 1883; 2123; 2443,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12194,Albumin Spot Urine,,Albumin (Spot Urine),574; 577; 1836; 2179; 2264,5 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12196,ALP - Alkaline phosphatase,,Alkalaine Phosphatase,1021; 1635; 1636; 1736; 1834; 1841; 1950; 2065,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12198,Serum Amylase,,Amylase,581; 1195; 1545; 1572; 1951; 2302; 2533; 2920,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12200,Bicarbonate (HCO-3),,Serum Bicarbonate,478; 583; 640; 861; 1216; 1401; 2238; 2525,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12208,C4 (Complement Level 4),,C4 (Complement Level 4),592; 1181; 2520,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12209,CPK-Creatine phosphokinase,,C.P.K,593; 871; 1403; 1467; 1886; 1953; 2222; 2265; 2547,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12212,Serum Calcium,,Serum Calcium,818; 1954,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12219,GAMMA GT,,Gamma GT,605; 1194; 1628; 1782; 1882; 1885,6 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12222,HDL (CHOLESTEROL),,HDL Cholesterol,611; 622; 772; 1088; 1188; 1486; 1776; 1787; 1892; 2044; 2061; 2118; 2527; 2562; 2706,15 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12224,Serum LDH,,L.D.H.,598; 872; 955; 1404; 1405; 1468; 1581; 1835; 1955; 2101; 2548,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
12225,L.D.L (CHOLESTEROL),,LDL Cholesterol,613; 771; 1089; 1231; 1487; 1777; 1803; 2045; 2119; 2563; 2707; 2708; 2935,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12228,PHOSPHATE,,Phosphate (Serum),627; 1193; 1730,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12235,S.G.O.T (A.S.T),,S.G.O.T (A.S.T),635; 790; 1190; 1884; 2531,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
12236,S.G.P.T (A.L.T),,SGPT (ALT),21; 615; 769; 833; 901; 1191; 1502; 1633; 1780; 1846; 1981; 2077; 2448; 2837; 2919; 2941,16 master parameters share this normalized name (unit disambiguation narrowed to 16),medium
12237,SERUM CHLORIDE,,Serum Chloride,477; 636; 860; 1960; 2449; 2908,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12238,Serum Cholesterol,,Serum Cholesterol,620; 862; 959; 1775; 1811; 1890; 2042; 2561,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12241,SERUM GLOBULIN,,Globulins,619; 869; 1122; 1125; 1592; 1785; 1792; 2364; 2655; 2912,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12242,Serum Iron,,Iron,646; 691; 1409; 2453,4 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12243,Serum Lipase,,Serum Lipase,642; 1228; 1550; 1579; 2559; 2806,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
12244,Magnesium (Mg),,Serum Magnesium,643; 873; 1209; 1408; 1964,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12245,Potassium (K+),,Serum Potassium,12; 476; 638; 859; 1471; 1963; 2331; 2450; 2909,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12246,Sodium (Na+),,Serum Sodium,475; 637; 1470; 1584; 1962; 2451; 2910,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12247,Serum Triglycerides,,Triglycerides,621; 926; 1773; 1812; 1891; 2043; 2526,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12248,Uric Acid,,Uric Acid,358; 644; 696; 858; 1168; 1185; 1671; 1889; 2060; 2316; 2339; 2523; 2545; 2932,14 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12249,T.I.B.C,,T.I.B.C.,645; 1822; 2452; 2495,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12250,Total Protein,,Total Protein,543; 569; 618; 846; 922; 1590; 1783; 2089; 2122; 2534; 2729,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12255,URINE SUGAR FASTING,,Blood Sugar Fasting,154; 1187,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12312,Phosphorous PO4,,Serum Phosphorus,1411; 2035,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12315,ALT(SGPT),,SGPT (ALT),21; 615; 769; 833; 901; 1191; 1502; 1633; 1780; 1846; 1981; 2077; 2448; 2837; 2919; 2941,16 master parameters share this normalized name (unit disambiguation narrowed to 16),medium
12316,AST (SGOT),,SGOT (AST),599; 616; 868; 1464; 1503; 1634; 1781; 1887; 1982; 2550,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
