test_id,test_name,status,reason,mapped_parameter_count
1952,PHOSPHATE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1954,Urine Protein (Spot) Qualitative,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1959,S.G.O.T (A.S.T),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1960,S.G.P.T (A.L.T),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1961,SERUM CHLORIDE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1962,Serum Cholesterol,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1965,SERUM GLOBULIN,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1966,Serum Iron,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1967,Serum Lipase,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1968,Magnesium (Mg),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1969,Potassium (K+),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1970,Sodium (Na+),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1971,Serum Triglycerides,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1972,Uric Acid,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1973,T.I.B.C,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1974,Total Protein,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1979,URINE SUGAR FASTING,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1983,Phosphorous PO4,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1985,ALT(SGPT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1986,AST (SGOT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
2025,ALDOLASE LEVEL,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
2103,TIBC,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
2482,ECG,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
