test_id,test_name,status,reason,mapped_parameter_count
1927,Blood Glucose Fasting (FBS),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1928,Blood Sugar Random (RBS),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1929,Blood Urea,MAPPING_EXTRACTED,,2
1930,Blood Urea Nitrogen (BUN),MAPPING_EXTRACTED,,2
1937,Cardiac Enzymes,MAPPING_EXTRACTED,,4
1945,GLUCOSE TOLERANCE TEST (G.T.T),MAPPING_EXTRACTED,,4
1955,Urine Protein/ Creatinine Ratio (Spot),MAPPING_EXTRACTED,,3
1958,RFT (RENAL FUNCTION TEST),MAPPING_EXTRACTED,,4
1963,Serum Creatinine,MAPPING_EXTRACTED,,2
1964,Serum Electrolyte,MAPPING_EXTRACTED,,4
1975,Iron Studies  (Iron & TIBC),MAPPING_EXTRACTED,,2
1981,Bilirubin,MAPPING_EXTRACTED,,3
1987,Lipid Profile,MAPPING_EXTRACTED,,6
2120,HBsAg Elisa,MAPPING_EXTRACTED,,2
2121,Anti HCV Elisa,MAPPING_EXTRACTED,,2
2122,"HCV, HBsAg (Elisa)",MAPPING_EXTRACTED,,2
2161,HBV DNA By PCR - (Qualitative) Real Time,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
2163,HCV by  PCR - (Qualitative) Real Time,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
2165,HCV GENOTYPING,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
2488,Semen Analysis,MAPPING_EXTRACTED,,16
2499,RENAL STONE ANALYSIS,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
7,ALBUMIN (FLUID),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
11,BASOPHIL COUNT,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
19,BUN/ CREATININE RATIO,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
26,COOMBS TEST (INDIRECT),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
27,COOMBS TEST DIRECT,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
36,EOSINOPHIL COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
41,HB,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
43,Hct,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
46,MALARIAL PARASITE (M.P.),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
47,MALARIAL PARASITE (THICK & THIN),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
48,MCH,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
49,MCHC,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
50,MCV,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
59,PLATELET COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
62,RETICULOCYTES,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
65,TOTAL LIPIDS,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
66,TOTAL RBC,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
71,V.L.D.L,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
73,WBC Count (TLC),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
84,Hct,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
87,TOTAL LIPIDS,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
89,HB,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
90,WBC Count (TLC),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
92,PLATELET COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
98,RETICULOCYTES,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
177,APTT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
178,ABSOLUTE EOSINOPHIL COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
179,ABSOLUTE LYMPHOCYTE COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
180,ABSOLUTE MONOCYTE COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
181,ABSOLUTE NEUTROPHILE COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
182,ABSOLUTE VALUES/CELL COUNT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
183,ALBUMIN (FLUID),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
