"app","file","line","sdk_call","method","path"
"operator","apps/operator/src/app/(protected)/lims/payments/page.tsx","194","client.POST","POST","/encounters/{encounterId}:cancel"
"operator","apps/operator/src/app/(protected)/lims/print/[id]/page.tsx","54","client.GET","GET","/documents/{id}/download"
"operator","apps/operator/src/app/(protected)/lims/print/[id]/page.tsx","74","client.GET","GET","/documents/{id}/render"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","126","client.GET","GET","/patients"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","184","client.GET","GET","/operator/catalog/tests/top"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","211","client.GET","GET","/operator/catalog/tests/search"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","328","client.PATCH","PATCH","/patients/{patientId}"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","332","client.POST","POST","/patients"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","365","client.POST","POST","/patients"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","372","client.POST","POST","/encounters"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","381","client.POST","POST","/encounters/{encounterId}:order-lab"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","402","client.POST","POST","/documents/receipt:generate"
"operator","apps/operator/src/app/(protected)/lims/registrations/new/page.tsx","433","client.GET","GET","/documents"
"operator","apps/operator/src/app/(protected)/lims/reports/page.tsx","98","client.GET","GET","/documents"
"operator","apps/operator/src/app/(protected)/lims/reports/page.tsx","141","client.GET","GET","/patients"
"operator","apps/operator/src/app/(protected)/lims/reports/page.tsx","155","client.GET","GET","/encounters"
"operator","apps/operator/src/app/(protected)/lims/reports/page.tsx","201","client.GET","GET","/documents/{id}/download"
"operator","apps/operator/src/app/(protected)/lims/results/[orderedTestId]/page.tsx","112","client.GET","GET","/results/tests/{orderedTestId}"
"operator","apps/operator/src/app/(protected)/lims/results/[orderedTestId]/page.tsx","158","client.POST","POST","/results/tests/{orderedTestId}:save"
"operator","apps/operator/src/app/(protected)/lims/results/[orderedTestId]/page.tsx","190","client.GET","GET","/results/tests/pending"
"operator","apps/operator/src/app/(protected)/lims/results/[orderedTestId]/page.tsx","212","client.POST","POST","/results/tests/{orderedTestId}:submit"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","159","client.GET","GET","/results/tests/pending"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","161","client.GET","GET","/results/tests/submitted"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","185","client.GET","GET","/results/tests/{orderedTestId}"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","212","client.GET","GET","/results/tests/{orderedTestId}"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","239","client.POST","POST","/results/tests/{orderedTestId}:save"
"operator","apps/operator/src/app/(protected)/lims/results/encounters/[encounterId]/page.tsx","264","client.POST","POST","/results/tests/{orderedTestId}:submit"
"operator","apps/operator/src/app/(protected)/lims/results/page.tsx","117","client.GET","GET","/results/tests/pending"
"operator","apps/operator/src/app/(protected)/lims/results/page.tsx","118","client.GET","GET","/results/tests/submitted"
"operator","apps/operator/src/app/(protected)/lims/results/page.tsx","180","client.POST","POST","/results/tests/{orderedTestId}:submit"
"operator","apps/operator/src/app/(protected)/lims/sample-collection/page.tsx","106","client.GET","GET","/sample-collection/worklist"
"operator","apps/operator/src/app/(protected)/lims/sample-collection/page.tsx","138","client.POST","POST","/encounters/{encounterId}:collect-specimens"
"operator","apps/operator/src/app/(protected)/lims/sample-collection/page.tsx","160","client.POST","POST","/encounters/{encounterId}:postpone-specimen"
"operator","apps/operator/src/app/(protected)/lims/sample-collection/page.tsx","182","client.POST","POST","/encounters/{encounterId}:receive-specimens"
"operator","apps/operator/src/app/(protected)/lims/sample-collection/page.tsx","239","client.POST","POST","/encounters/{encounterId}:receive-specimens"
"operator","apps/operator/src/app/(protected)/lims/verification/encounters/[encounterId]/page.tsx","85","client.GET","GET","/verification/encounters/{encounterId}"
