app,file,line,method,path,sdk_call,openapi_operationId
operator,apps/operator/src/app/(protected)/lims/sample-collection/page.tsx,160,POST,/encounters/{encounterId}:postpone-specimen,client.POST,postponeSpecimen
operator,apps/operator/src/app/(protected)/lims/sample-collection/page.tsx,182,POST,/encounters/{encounterId}:receive-specimens,client.POST,receiveSpecimens
operator,apps/operator/src/app/(protected)/lims/sample-collection/page.tsx,239,POST,/encounters/{encounterId}:receive-specimens,client.POST,receiveSpecimens
operator,apps/operator/src/app/(protected)/lims/verification/encounters/[encounterId]/page.tsx,85,GET,/verification/encounters/{encounterId},client.GET,getVerificationEncounterDetail
operator,apps/operator/src/app/(protected)/lims/verification/encounters/[encounterId]/page.tsx,100,GET,/verification/encounters/pending,client.GET,getVerificationQueue
operator,apps/operator/src/app/(protected)/lims/verification/encounters/[encounterId]/page.tsx,143,GET,/documents,client.GET,listDocuments
operator,apps/operator/src/app/(protected)/lims/verification/encounters/[encounterId]/page.tsx,179,POST,/verification/encounters/{encounterId}:verify,client.POST,verifyEncounter
operator,apps/operator/src/app/(protected)/lims/verification/page.tsx,85,GET,/verification/encounters/pending,client.GET,getVerificationQueue
operator,apps/operator/src/app/(protected)/lims/verification/page.tsx,96,GET,/verification/encounters/{encounterId},client.GET,getVerificationEncounterDetail
operator,apps/operator/src/app/(protected)/lims/verification/page.tsx,156,POST,/verification/encounters/{encounterId}:verify,client.POST,verifyEncounter
operator,apps/operator/src/app/(protected)/lims/verification/page.tsx,176,POST,/verification/encounters/{encounterId}:return-for-correction,client.POST,returnEncounterForCorrection
operator,apps/operator/src/app/(protected)/lims/worklist/page.tsx,63,GET,/results/tests/pending,client.GET,getPendingTests
operator,apps/operator/src/app/(protected)/lims/worklist/page.tsx,64,GET,/verification/encounters/pending,client.GET,getVerificationQueue
operator,apps/operator/src/app/(protected)/lims/worklist/page.tsx,65,GET,/documents,client.GET,listDocuments
operator,apps/operator/src/app/(protected)/lims/worklist/page.tsx,66,GET,/documents,client.GET,listDocuments
operator,apps/operator/src/app/(protected)/lims/worklist/page.tsx,67,GET,/encounters,client.GET,listEncounters
operator,apps/operator/src/app/(protected)/opd/appointments/[id]/page.tsx,56,GET,/opd/appointments/{appointmentId},client.GET,getOpdAppointment
operator,apps/operator/src/app/(protected)/opd/appointments/[id]/page.tsx,144,POST,/opd/visits,client.POST,createOpdVisit
operator,apps/operator/src/app/(protected)/opd/appointments/new/page.tsx,57,GET,/opd/providers,client.GET,listOpdProviders
operator,apps/operator/src/app/(protected)/opd/appointments/new/page.tsx,82,GET,/opd/providers/{providerId}/availability,client.GET,getOpdProviderAvailability
operator,apps/operator/src/app/(protected)/opd/appointments/new/page.tsx,135,POST,/opd/appointments,client.POST,createOpdAppointment
operator,apps/operator/src/app/(protected)/opd/billing/invoices/[invoiceId]/page.tsx,47,GET,/opd/billing/invoices/{invoiceId},client.GET,getOpdInvoice
operator,apps/operator/src/app/(protected)/opd/billing/invoices/[invoiceId]/page.tsx,68,GET,/opd/billing/invoices/{invoiceId}/payments,client.GET,listOpdInvoicePayments
operator,apps/operator/src/app/(protected)/opd/billing/invoices/[invoiceId]/page.tsx,149,POST,/opd/billing/invoices/{invoiceId}/payments,client.POST,
operator,apps/operator/src/app/(protected)/opd/billing/new/page.tsx,75,POST,/opd/billing/invoices,client.POST,createOpdInvoice
operator,apps/operator/src/app/(protected)/opd/billing/page.tsx,45,GET,/opd/billing/invoices,client.GET,listOpdInvoices
operator,apps/operator/src/app/(protected)/opd/encounters/[id]/doctor/page.tsx,83,GET,/opd/encounters/{encounterId},client.GET,getOpdEncounterKmvp
operator,apps/operator/src/app/(protected)/opd/encounters/[id]/doctor/page.tsx,121,GET,/opd/encounters/{encounterId}/prescription/file,client.GET,downloadOpdEncounterPrescriptionFile
operator,apps/operator/src/app/(protected)/opd/encounters/[id]/doctor/page.tsx,156,POST,/opd/commands/publishPrescription,client.POST,publishOpdPrescriptionCommand
operator,apps/operator/src/app/(protected)/opd/encounters/[id]/intake/page.tsx,47,GET,/opd/encounters/{encounterId},client.GET,getOpdEncounterKmvp
operator,apps/operator/src/app/(protected)/opd/encounters/[id]/intake/page.tsx,91,POST,/opd/commands/recordIntake,client.POST,recordOpdIntakeCommand
operator,apps/operator/src/app/(protected)/opd/encounters/new/page.tsx,76,GET,/opd/doctors,client.GET,listOpdDoctors
operator,apps/operator/src/app/(protected)/opd/encounters/new/page.tsx,99,GET,/patients,client.GET,listPatients
operator,apps/operator/src/app/(protected)/opd/encounters/new/page.tsx,134,POST,/patients,client.POST,createPatient
operator,apps/operator/src/app/(protected)/opd/encounters/new/page.tsx,165,POST,/opd/commands/createRegistration,client.POST,createOpdRegistrationCommand
operator,apps/operator/src/app/(protected)/opd/encounters/page.tsx,52,GET,/opd/encounters,client.GET,listOpdEncountersKmvp
operator,apps/operator/src/app/(protected)/opd/providers/[providerId]/availability/page.tsx,31,GET,/opd/providers/{providerId}/availability,client.GET,getOpdProviderAvailability
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,75,GET,/opd/visits/{visitId}/vitals,client.GET,listOpdVisitVitals
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,93,GET,/opd/visits/{visitId}/clinical-note,client.GET,getOpdVisitClinicalNote
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,130,GET,/opd/visits/{visitId}/prescription,client.GET,getOpdVisitPrescription
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,175,GET,/opd/visits/{visitId},client.GET,getOpdVisit
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,271,PUT,/opd/visits/{visitId}/clinical-note,client.PUT,upsertOpdVisitClinicalNote
operator,apps/operator/src/app/(protected)/opd/visits/[visitId]/page.tsx,327,PUT,/opd/visits/{visitId}/prescription,client.PUT,upsertOpdVisitPrescription
operator,apps/operator/src/app/(protected)/opd/visits/new/page.tsx,34,GET,/opd/providers,client.GET,listOpdProviders
operator,apps/operator/src/app/(protected)/opd/visits/new/page.tsx,54,POST,/opd/visits,client.POST,createOpdVisit
operator,apps/operator/src/app/(protected)/opd/worklist/page.tsx,63,GET,/opd/appointments,client.GET,listOpdAppointments
operator,apps/operator/src/app/(protected)/opd/worklist/page.tsx,95,GET,/opd/visits,client.GET,listOpdVisits
operator,apps/operator/src/app/login/page.tsx,27,POST,/auth/login,client.POST,login
operator,apps/operator/src/hooks/use-document-polling.ts,20,GET,/documents,client.GET,listDocuments
operator,apps/operator/src/hooks/use-document-polling.ts,30,GET,/documents,client.GET,listDocuments
operator,apps/operator/src/hooks/use-feature-flags.ts,35,GET,/feature-flags/resolved,client.GET,getResolvedFeatureFlags
