parameterExternalId,testExternalId,raw_normal_range,unit,reason
p2064,t2322,(See below),U/ml,unrecognized pattern
p2065,t2322,(See below),U/ml,unrecognized pattern
p2033,t2322,(See below),U/ml,unrecognized pattern
p2062,t2322,(See below),U/ml,unrecognized pattern
p2053,t2322,(See below),U/ml,unrecognized pattern
p2055,t2322,(See below),U/ml,unrecognized pattern
p2092,t2029,(See below),mg/dl,unrecognized pattern
p2011,t2225,AdultAge 18-60 years: 3.5 - 5.5Above 60 years: 3.4 - 4.8ChildAge 14-18 years: 3.2 - 4.54days - 14years: 3.8 - 5.4Newborns: 2.8 - 4.4,g/dl,unrecognized pattern
p2363,t2226,<80<300 (pregnancy),mg/24 Hours,unrecognized pattern
p2012,t2227,(See Note),mg/g,unrecognized pattern
p2114,t2243,Men : 24 - 204Women : 24 - 173,U/L,unrecognized pattern
p2279,t2253,0.2,,unrecognized pattern
p2142,t2254,Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0,mg/dl,unrecognized pattern
p2142,t2259,Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0,mg/dl,unrecognized pattern
p2179,t2259,>60 Normal Kidney15-60: Kidney disease<15: Kidney Failure,mL/Min/1.73m^2,unrecognized pattern
p2092,t2292,"Adult: 0.2 - 1.2Newborns, premature:24 Hours:        < 8.82nd Day:         1.3 - 11.33rd Day:         0.7 - 12.74th-6th Day:     0.1 - 12.6Child:>1 month:  0.2 - 1.0",mg/dl,unrecognized pattern
p2318,t2305,Desirable: < 200Boderline High: 200 - 239High: > 240,mg/dl,unrecognized pattern
p2350,t2305,Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500,mg/dl,unrecognized pattern
p2194,t2305,Normal: 35 - 60High Risk: < 35,mg/dl,unrecognized pattern
p2226,t2305,Normal: < 130Borderline: 130 - 159High: > 160,mg/dl,unrecognized pattern
p2125,t2305,Normal: 3.5 to 5.0High: > 5.0,mg/dl,unrecognized pattern
p2367,t2305,Normal: < 30Borderline High: 30 to 40,mg/dl,unrecognized pattern
p2190,t2080,Negative <0.9Border Line 0.9 - 1.0Positive >1.0,,unrecognized pattern
p2046,t2273,Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2,S/CO,unrecognized pattern
p2204,t2310,Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2,S/CO,unrecognized pattern
p2044,t2310,Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2,S/CO,unrecognized pattern
p2130,t2284,Grayish White to Pale Yellow,,unrecognized pattern
p2230,t2284,With in 30 min,Minutes,unrecognized pattern
p2131,t2284,Viscid,,unrecognized pattern
p2333,t2284,> 15 Million,million/ml,unrecognized pattern
p2007,t2284,> 50 %,%,unrecognized pattern
p2331,t2284,< 30 %,%,unrecognized pattern
p2174,t2284,Positive,,unrecognized pattern
p2326,t2277,Adults: 2.5 - 4.5Child:  4.0 - 7.0,mg/dl,unrecognized pattern
p2299,t2021,Adult: 0.20 - 2.0Newborn: 2.00 - 6.0,%,unrecognized pattern
p2367,t2024,Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100,mg/dl,unrecognized pattern
p2299,t2040,Adult:	0.20 - 2.0New Born:	2.00 - 6.0,%,unrecognized pattern
p2135,t2059,Negative,,unrecognized pattern
p2134,t2060,Negative,,unrecognized pattern
p2367,t2073,Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100,mg/dl,unrecognized pattern
p2006,t2328,8 - 52 U/L,U/L,unrecognized pattern
p2080,t2077,Adult: Less than 200Child: Less than 150,lu/ml,unrecognized pattern
p2151,t2078,Negative < 0.9Borderline 0.9-1.2Positive >1.2,S/CO,unrecognized pattern
p2191,t2079,Negative,,unrecognized pattern
p2193,t2081,Negative,,unrecognized pattern
p2288,t2083,Negative: < 20Positive: > 20,IU/ml,unrecognized pattern
p2289,t2084,Negative: < 25.0Positive: > 25.0Indication of Rheumatoid Arthritis: > 70,IU/ml,unrecognized pattern
p2301,t2085,Negative,,unrecognized pattern
p2368,t2324,NON REACTIVE < 1.0BORDER LINE 1.0-4.0REACTIVE > 4.0,-,unrecognized pattern
p2032,t2089,< 17 Negative> 17 Positive,U/mL,unrecognized pattern
p2034,t2090,Negative: < 0.8Borderline: 0.8 to 1.2Positive: > 1.2,IU/ml,unrecognized pattern
p2048,t2093,Negative,,unrecognized pattern
p2075,t2094,< 18 Negative18 - 22 Borderline> 22 Positive,U/ml,unrecognized pattern
p2076,t2095,< 18 Negative18 - 22 Borderline> 22 Positive,U/mL,unrecognized pattern
p2334,t2109,Normal: <50Slightly Elevated: 50 - 120Significantly Elevated: >120,ug/g,unrecognized pattern
p2335,t2110,Negative,,unrecognized pattern
p2336,t2113,Negative,,unrecognized pattern
p2173,t2118,"Male: 15.0 - 50.0, Female: < 4.20",Pg/ml,unrecognized pattern
p2175,t2119,Male: 1.5 – 12.4 mIU/mlFemale (Follicular phase): 3.5 – 12.5 mIU/mlFemale (Mid-cycle peak / Ovulatory phase): 4.7 – 21.5 mIU/mlFemale (Luteal phase): 1.7 – 7.7 mIU/mlPostmenopausal Female: 25.8 – 134.8 mIU/ml,mIU/ml,unrecognized pattern
p2228,t2122,Male: 1.5 – 12.4 mIU/mLFemale (Follicular phase): 3.5 – 12.5 mIU/mLFemale (Mid-cycle / Ovulatory): 4.7 – 21.5 mIU/mLFemale (Luteal phase): 1.7 – 7.7 mIU/mLPostmenopausal Female: 25.8 – 134.8 mIU/mL,mIU/ml,unrecognized pattern
p2275,t2125,Male: 2.5 – 27.0 ng/mLFemale (Non-pregnant): 5.2 – 27.0 ng/mLPregnant (1st Trimester): 80.0 – 400.0 ng/mLPregnant (2nd Trimester): 110.0 – 330.0 ng/mLPregnant (3rd Trimester): 137.0 – 372.0 ng/mLPostmenopausal Female: 1.9 – 18.4 ng/mL,ng/ml,unrecognized pattern
p2343,t2128,Males: 175 - 780Females: 10 - 75,ng/dL,unrecognized pattern
p2281,t2028,< 40 years: 0.01 - 1.5140 - 49 years: 0.00 - 2.2750 - 59 years: 0.02 - 2.89> 60 years: 0.29 - 4.96,ng/ml,unrecognized pattern
p2001,t2087,Deficiency: <10Insufficiency: 10-29Sufficiency: 30-100Potential Toxicity: >100,ng/ml,unrecognized pattern
p2000,t2133,Reference ValuesPediatric Boy1 month 0.0 - 8.02 months 3.6 - 13.73 months 1.7 - 4.0Pediatric Girl1 month 2.4 - 16.8 2 months 1.6 - 9.7 3 months 0.1 - 3.1Pre- Peubertal Child 0.1-1.7 Adult FemaleFemale Follicular Phase 0.1 - 0.8Luteal Phase 0.6 - 2.3Ovulatory phase 0.3 - 1.4Late pregnancy 2.0 - 12Menopause 0.13 - 0.51Male Adult Male 0.5 - 2.1,ng/mL,unrecognized pattern
p2008,t2135,Serum < 15CSF < 9Fluid < 30,U/L,unrecognized pattern
p2028,t2137,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,-,unrecognized pattern
p2027,t2138,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,-,unrecognized pattern
p2025,t2139,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,,unrecognized pattern
p2026,t2140,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,,unrecognized pattern
p2030,t2142,Negative: < 10.0Positive: > 10.0,U/ml,unrecognized pattern
p2031,t2143,Negative: < 10.0Positive: > 10.0,U/ml,unrecognized pattern
p2036,t2144,Negative < 9.0Borderline 9.0 - 11.0Positive > 11.0,U/ml,unrecognized pattern
p2037,t2145,Negative < 9.0Borderline 9.0 - 11.0Positive > 11.0,U/ml,unrecognized pattern
p2039,t2147,Negative: <15Positive: >15,U/ml,unrecognized pattern
p2040,t2148,Negative: <15Positive: >15,U/ml,unrecognized pattern
p2042,t2150,Non-Reactive: < 1.0Reactive: > 1.0,-,unrecognized pattern
p2043,t2151,Non-Reactive: < 1.1Reactive: > 1.1,-,unrecognized pattern
p2054,t2155,Negative: <15Positive: >15,U/ml,unrecognized pattern
p2021,t2156,Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10,AU/ml,unrecognized pattern
p2056,t2157,Males:>2 Years 14-466>18 Years 0.73-16.05Females:18-25 Years 0.96 - 13.3426-30 Years 0.17 - 7.3731-35 Years 0.07 - 7.3536-40 Years 0.03 - 7.1541-45 Years 0.00 - 3.27=>46 Years 0.00 - 1.15,ng/mL,unrecognized pattern
p2060,t2158,Negative: < 10.0Positive: > 10.0,,unrecognized pattern
p2061,t2159,Negative: < 10.0Positive: > 10.0,,unrecognized pattern
p2070,t2162,Negative : <60.0Equivocal : 60.0 to 100.0Positive : >= 100.0,-,unrecognized pattern
p2073,t2163,Normal 4.11High  =4.11,IU/ml,unrecognized pattern
p2110,t2165,Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10,IU/ml,unrecognized pattern
p2111,t2166,Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1,IU/ml,unrecognized pattern
p2113,t2168,Smoker: 1.0 - 7.0Non-Smoker: 0.0 - 5.0,ng/ml,unrecognized pattern
p2120,t2169,Less Than: 30,U/ml,unrecognized pattern
