legacy_test_id,legacy_test_name,legacy_parameter_name,legacy_unit,legacy_type,canonical_parameterExternalId,canonical_name,canonical_defaultUnit,canonical_resultType,unit_mismatch_flag,type_mismatch_flag
12026,CRP (HIGH SENSITIVITY),CRP (High Sensitivity),mg/L,Decimal,p2147,CRP (High Sensitivity),mg/L,numeric,,
12284,Urine Complete Examination,Crystal,,Text,p2148,Crystal,,text,,
12087,Anti HB Core,Cut Off Value,,Text,p2149,Cut Off Value,,text,,
14307,D-DIMER (F.D.P's),D-DIMER (F.D.P's),mg/L,Text,p2150,D-DIMER (F.D.P's),mg/L,text,,
11996,Dengue NS1 Antigen (ELISA),Dengue NS1 Antigen,S/CO,Text,p2151,Dengue NS1 Antigen,S/CO,text,,
12119,DENGUE IgG,Dengue Virus (IgG),,Decimal,p2152,Dengue Virus (IgG),,numeric,,
12120,DENGUE IgM,Dengue Virus (IgM),,Decimal,p2153,Dengue Virus (IgM),,numeric,,
12122,DIGOXIN,Digoxin,ng/ml,Decimal,p2154,Digoxin,ng/ml,numeric,,
12298,Bilirubin,Direct Bilirubin,mg/dl,Decimal,p2155,Direct Bilirubin,mg/dl,numeric,,
54,PERIPHERAL BLOOD SMEARS,DLC,,Text,p2156,DLC,,text,,
11986,Peripheral blood Film,DLC,,Text,p2156,DLC,,text,,
10552,Cross Match & Screening,Donor Blood Group,-,List,p2157,Donor Blood Group,-,coded,,
12299,CROSS MATCH with Screening,Donor Blood Group,-,List,p2157,Donor Blood Group,-,coded,,
10552,Cross Match & Screening,Donor Heamoglobin (HB),g/dl,Decimal,p2158,Donor Heamoglobin (HB),g/dl,numeric,,
12299,CROSS MATCH with Screening,Donor Heamoglobin (HB),g/dl,Decimal,p2158,Donor Heamoglobin (HB),g/dl,numeric,,
10552,Cross Match & Screening,Donor Name,-,Text,p2159,Donor Name,-,text,,
12299,CROSS MATCH with Screening,Donor Name,-,Text,p2159,Donor Name,-,text,,
12347,Complete Blood Count- CBC with Peripheral smear,E.S.R,mm/1st hr,Decimal,p2160,E.S.R,mm/1st hr,numeric,,
15,BLOOD C/E,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
32,DLC,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
54,PERIPHERAL BLOOD SMEARS,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
5489,BLOOD C/E WITH ESR,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
5599,DLC,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
5700,BLOOD C/E,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
11986,Peripheral blood Film,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
12280,Complete Blood Count- CBC,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
12343,Complete Blood Count- CBC with ESR,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
12344,Complete Blood Count- CBC with Blood Group,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
12346,Complete Blood Count- CBC,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,Eosinophil,%,Decimal,p2161,Eosinophil,%,numeric,,
15,BLOOD C/E,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5489,BLOOD C/E WITH ESR,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5700,BLOOD C/E,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
10701,CBC with Peripheral Film,"Eosinophil, Absolute",/mm3,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12280,Complete Blood Count- CBC,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12343,Complete Blood Count- CBC with ESR,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12344,Complete Blood Count- CBC with Blood Group,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12346,Complete Blood Count- CBC,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12347,Complete Blood Count- CBC with Peripheral smear,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
36,EOSINOPHIL COUNT,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
11958,ABSOLUTE EOSINOPHIL COUNT,"Eosinophil, Absolute",*10^9/l,Decimal,p2162,"Eosinophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
42,HB. ELECTROPHORESIS,Eosinophils,%,Formula,p2163,Eosinophils,%,numeric,,
10701,CBC with Peripheral Film,Eosinophils,%,Formula,p2163,Eosinophils,%,numeric,,
11983,HB. ELECTROPHORESIS,Eosinophils,%,Formula,p2163,Eosinophils,%,numeric,,
12284,Urine Complete Examination,Epithelial Cells,,Text,p2164,Epithelial Cells,,text,,
12289,Semen Analysis,Epithelial Cells,,Text,p2164,Epithelial Cells,,text,,
15,BLOOD C/E,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
5489,BLOOD C/E WITH ESR,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
5700,BLOOD C/E,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
10701,CBC with Peripheral Film,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12280,Complete Blood Count- CBC,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12343,Complete Blood Count- CBC with ESR,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12344,Complete Blood Count- CBC with Blood Group,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12346,Complete Blood Count- CBC,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
11979,ESR,ESR,mm/1st hr,Decimal,p2165,ESR,mm/1st hr,numeric,,
12125,Estradiol,Estradiol,pg/mL,Decimal,p2166,Estradiol,pg/mL,numeric,,
12126,Estrogen,Estrogen,pg/mL,Decimal,p2167,Estrogen,pg/mL,numeric,,
12127,F.D.P's (D-DIMER),F.D.P's (D-DIMER),ng/ml,Decimal,p2168,F.D.P's (D-DIMER),ng/ml,numeric,UNIT_MISMATCH,
13110,F.D.P's (D-DIMER),F.D.P's (D-DIMER),ug/ml,Decimal,p2168,F.D.P's (D-DIMER),ng/ml,numeric,UNIT_MISMATCH,
12130,Fibrinogen Level,Fibrinogen Level,mg/dl,Decimal,p2169,Fibrinogen Level,mg/dl,numeric,,
12027,Serum Folic Acid,Folic Acid,ng/ml,Decimal,p2170,Folic Acid,ng/ml,numeric,,
148,FREE T3,Free T3,pg/ml,Decimal,p2171,Free T3,pg/ml,numeric,UNIT_MISMATCH,TYPE_MISMATCH
12039,Free T3,Free T3,pmol/L,Text,p2171,Free T3,pg/ml,numeric,UNIT_MISMATCH,TYPE_MISMATCH
12320,FREE T3,Free T3,pg/ml,Decimal,p2171,Free T3,pg/ml,numeric,UNIT_MISMATCH,TYPE_MISMATCH
12040,Free T4,FREE T4,pmol/L,Text,p2172,FREE T4,pmol/L,text,UNIT_MISMATCH,TYPE_MISMATCH
12321,FREE T4,FREE T4,ng/dl,Decimal,p2172,FREE T4,pmol/L,text,UNIT_MISMATCH,TYPE_MISMATCH
12041,FREE TESTOSTERONE,Free Testosterone Serum,Pg/ml,Decimal,p2173,Free Testosterone Serum,Pg/ml,numeric,,
12289,Semen Analysis,Fructose,,List,p2174,Fructose,,coded,,
12046,"LH , FSH , SERUM PROLACTIN",FSH,mIU/ml,Text,p2175,FSH,mIU/ml,text,,
12042,FSH,FSH,mIU/ml,Text,p2175,FSH,mIU/ml,text,,
12172,SERUM PROTEIN ELECTROPHORESIS,Gamma,g/dL,Decimal,p2176,Gamma,g/dL,numeric,,
12219,GAMMA GT,Gamma GT,U/L,Decimal,p2177,Gamma GT,U/L,numeric,,
12241,SERUM GLOBULIN,Globulins,g/dl,Formula,p2178,Globulins,g/dl,numeric,,
12239,Serum Creatinine,Glomerular Filteration Rate (GFR),mL/Min/1.73m^2,Decimal,p2179,Glomerular Filteration Rate (GFR),mL/Min/1.73m^2,numeric,,
12284,Urine Complete Examination,Glucose,,Text,p2180,Glucose,,text,,
12284,Urine Complete Examination,Granular Cast/LPF,,Text,p2181,Granular Cast/LPF,,text,,
12043,GROWTH HORMONE,Growth Hormone (GH),ng/ml,Decimal,p2182,Growth Hormone (GH),ng/ml,numeric,,
12132,HAV IgG,HAV IgG,S/CO,Text,p2183,HAV IgG,S/CO,text,,
42,HB. ELECTROPHORESIS,HB-A,%,Decimal,p2184,HB-A,%,numeric,,
11983,HB. ELECTROPHORESIS,HB-A,%,Decimal,p2184,HB-A,%,numeric,,
42,HB. ELECTROPHORESIS,HB-A2,%,Decimal,p2185,HB-A2,%,numeric,,
11983,HB. ELECTROPHORESIS,HB-A2,%,Decimal,p2185,HB-A2,%,numeric,,
42,HB. ELECTROPHORESIS,HB-C,%,Decimal,p2186,HB-C,%,numeric,,
11983,HB. ELECTROPHORESIS,HB-C,%,Decimal,p2186,HB-C,%,numeric,,
42,HB. ELECTROPHORESIS,HB-F,%,Decimal,p2187,HB-F,%,numeric,,
11983,HB. ELECTROPHORESIS,HB-F,%,Decimal,p2187,HB-F,%,numeric,,
42,HB. ELECTROPHORESIS,HB-S/D,%,Decimal,p2188,HB-S/D,%,numeric,,
11983,HB. ELECTROPHORESIS,HB-S/D,%,Decimal,p2188,HB-S/D,%,numeric,,
12134,HBA1c,HbA1c,%,Decimal,p2189,HbA1c,%,numeric,,
11998,HBsAg Elisa,HBsAg Patient's index value,,Text,p2190,HBsAg Patient's index value,,text,,
10552,Cross Match & Screening,HBsAg (Screening),-,List,p2191,HBsAg (Screening),-,coded,,
12299,CROSS MATCH with Screening,HBsAg (Screening),-,List,p2191,HBsAg (Screening),-,coded,,
12323,"HCV, HBsAg ICT",HBsAg (Screening),,List,p2191,HBsAg (Screening),-,coded,,
11997,HBsAg Screening,HBsAg (Screening),,List,p2191,HBsAg (Screening),-,coded,,
43,Hct,HCT (PCV),%,Decimal,p2192,HCT (PCV),%,numeric,,
5609,Hct,HCT (PCV),%,Decimal,p2192,HCT (PCV),%,numeric,,
12323,"HCV, HBsAg ICT",HCV Screening,,List,p2193,HCV Screening,,coded,,
11999,HCV Screening,HCV Screening,,List,p2193,HCV Screening,,coded,,
12318,Lipid Profile,HDL Cholesterol,mg/dl,Decimal,p2194,HDL Cholesterol,mg/dl,numeric,,
12222,HDL (CHOLESTEROL),HDL Cholesterol,mg/dl,Decimal,p2194,HDL Cholesterol,mg/dl,numeric,,
12289,Semen Analysis,Head Defect,%,Text,p2195,Head Defect,%,text,,
42,HB. ELECTROPHORESIS,Heamoglobin,g/dl,Decimal,p2196,Heamoglobin,g/dl,numeric,,
11983,HB. ELECTROPHORESIS,Heamoglobin,g/dl,Decimal,p2196,Heamoglobin,g/dl,numeric,,
12136,H. Pylori IgA,Helicobacter Pylori Abs (IgA),U/ml,Decimal,p2197,Helicobacter Pylori Abs (IgA),U/ml,numeric,,
12137,H. Pylori IgG,Helicobacter Pylori Abs (IgG),U/ml,Decimal,p2198,Helicobacter Pylori Abs (IgG),U/ml,numeric,UNIT_MISMATCH,TYPE_MISMATCH
12325,H. Pylori IgG,Helicobacter Pylori Abs (IgG),IU/ml,Text,p2198,Helicobacter Pylori Abs (IgG),U/ml,numeric,UNIT_MISMATCH,TYPE_MISMATCH
12138,H. Pylori IgM,Helicobacter Pylori Abs IgM,S/CO,Text,p2199,Helicobacter Pylori Abs IgM,S/CO,text,,
15,BLOOD C/E,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
42,HB. ELECTROPHORESIS,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
5489,BLOOD C/E WITH ESR,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
5700,BLOOD C/E,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
10701,CBC with Peripheral Film,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
11983,HB. ELECTROPHORESIS,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12280,Complete Blood Count- CBC,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12306,CBC For Dengue,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12343,Complete Blood Count- CBC with ESR,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12344,Complete Blood Count- CBC with Blood Group,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12346,Complete Blood Count- CBC,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12347,Complete Blood Count- CBC with Peripheral smear,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
12348,Hemoglobin (Hb) with RBC indices,Hematocrit (HCT),%,Text,p2200,Hematocrit (HCT),%,text,,
15,BLOOD C/E,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
5489,BLOOD C/E WITH ESR,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
5700,BLOOD C/E,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
10701,CBC with Peripheral Film,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12280,Complete Blood Count- CBC,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12306,CBC For Dengue,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12343,Complete Blood Count- CBC with ESR,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12344,Complete Blood Count- CBC with Blood Group,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12346,Complete Blood Count- CBC,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12348,Hemoglobin (Hb) with RBC indices,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
41,HB,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
5696,HB,Hemoglobin (HB),g/dl,Decimal,p2201,Hemoglobin (HB),g/dl,numeric,,
12133,HAV IgM,Hepatitis A Virus IgM,U/ml,Text,p2202,Hepatitis A Virus IgM,U/ml,text,,
12135,HBeAg,"Hepatitis B ""e"" Antigen",S/CO,Text,p2203,"Hepatitis B ""e"" Antigen",S/CO,text,,
11998,HBsAg Elisa,Hepatitis B Surface Antigen,,List,p2204,Hepatitis B Surface Antigen,S/CO,coded,UNIT_MISMATCH,TYPE_MISMATCH
12324,"HCV, HBsAg (Elisa)",Hepatitis B Surface Antigen,S/CO,Text,p2204,Hepatitis B Surface Antigen,S/CO,coded,UNIT_MISMATCH,TYPE_MISMATCH
12139,HERPES IgG,Herpes IgG,IU/ml,Decimal,p2205,Herpes IgG,IU/ml,numeric,,
12140,HERPES IgM,Herpes IgM,IU/ml,Decimal,p2206,Herpes IgM,IU/ml,numeric,,
10552,Cross Match & Screening,HIV (Screening),-,List,p2207,HIV (Screening),-,coded,,
12299,CROSS MATCH with Screening,HIV (Screening),-,List,p2207,HIV (Screening),-,coded,,
12142,HOMOCYSTINE (BLOOD),Homocystine (Blood),µmol/l,Decimal,p2208,Homocystine (Blood),µmol/l,numeric,,
12143,HOMOCYSTINE (URINE),Homocystine (Urine),µmol/l,Decimal,p2209,Homocystine (Urine),µmol/l,numeric,,
12148,"Immunoglobulin (IgA,IgG,IgM)",IgA,mg/dl,Decimal,p2210,IgA,mg/dl,numeric,,
12145,IgA Level,IgA,mg/dl,Decimal,p2210,IgA,mg/dl,numeric,,
12028,IgE Level,IgE,IU/ml,Decimal,p2211,IgE,IU/ml,numeric,,
12148,"Immunoglobulin (IgA,IgG,IgM)",IgG Level,mg/dl,Decimal,p2212,IgG Level,mg/dl,numeric,,
12146,IgG Level,IgG Level,mg/dl,Decimal,p2212,IgG Level,mg/dl,numeric,,
12148,"Immunoglobulin (IgA,IgG,IgM)",IgM,mg/dl,Decimal,p2213,IgM,mg/dl,numeric,,
12147,IgM,IgM,mg/dl,Decimal,p2213,IgM,mg/dl,numeric,,
12289,Semen Analysis,Immotile,%,Text,p2214,Immotile,%,text,,
12298,Bilirubin,Indirect Bilirubin,mg/dl,Decimal,p2215,Indirect Bilirubin,mg/dl,numeric,,
60,PROTHROMBIN TIME (PT with INR),INR,Ratio,Decimal,p2216,INR,Ratio,numeric,UNIT_MISMATCH,
5701,PROTHROMBIN TIME (PT with INR),INR,Ratio,Decimal,p2216,INR,Ratio,numeric,UNIT_MISMATCH,
12282,PROTHROMBIN TIME (PT with INR),INR,,Decimal,p2216,INR,Ratio,numeric,UNIT_MISMATCH,
12309,Prothrombin Time (PT with INR),INR,,Decimal,p2216,INR,Ratio,numeric,UNIT_MISMATCH,
12322,"PT, APTT, INR",INR,,Decimal,p2216,INR,Ratio,numeric,UNIT_MISMATCH,
12150,Insulin Growth Factor-1 (IGF-1),Insulin Growth Factor-1 (IGF-1),ng/ml,Decimal,p2217,Insulin Growth Factor-1 (IGF-1),ng/ml,numeric,,
12149,Insulin (Random),Insulin (Random),uIU/ml,Decimal,p2218,Insulin (Random),uIU/ml,numeric,,
12044,Intact parathyroid hormone (i PTH) (FASTING),Intact Parathyroid Hormone (IPTH) (Fasting),pg/mL,Decimal,p2219,Intact Parathyroid Hormone (IPTH) (Fasting),pg/mL,numeric,,
12151,IONIZED CALCIUM,Ionized Calcium,mmol/l,Decimal,p2220,Ionized Calcium,mmol/l,numeric,,
12251,Iron Studies  (Iron & TIBC),Iron,µg/dL,Decimal,p2221,Iron,µg/dL,numeric,,
12242,Serum Iron,Iron,µg/dL,Decimal,p2221,Iron,µg/dL,numeric,,
12284,Urine Complete Examination,Ketones,,Text,p2222,Ketones,,text,,
12213,Cardiac Enzymes,L.D.H.,U/L,Decimal,p2223,L.D.H.,U/L,numeric,,
12224,Serum LDH,L.D.H.,U/L,Decimal,p2223,L.D.H.,U/L,numeric,,
11984,L.D.H (CSF),L.D.H (CSF),,Decimal,p2224,L.D.H (CSF),,numeric,,
12153,LACTATE LEVEL (BLOOD),Lactate Level,mg/dl,Decimal,p2225,Lactate Level,mg/dl,numeric,,
12318,Lipid Profile,LDL Cholesterol,mg/dl,Decimal,p2226,LDL Cholesterol,mg/dl,numeric,,
12225,L.D.L (CHOLESTEROL),LDL Cholesterol,mg/dl,Decimal,p2226,LDL Cholesterol,mg/dl,numeric,,
12284,Urine Complete Examination,Leucocytes,,Text,p2227,Leucocytes,,text,,
12046,"LH , FSH , SERUM PROLACTIN",LH,mIU/ml,Text,p2228,LH,mIU/ml,text,,
12045,LH,LH,mIU/ml,Text,p2228,LH,mIU/ml,text,,
11985,LIPASE (FLUID),lipase (Fluid),U/L,Decimal,p2229,lipase (Fluid),U/L,numeric,,
12289,Semen Analysis,Liquification Time,Minutes,Integer,p2230,Liquification Time,Minutes,numeric,,
15,BLOOD C/E,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5489,BLOOD C/E WITH ESR,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5700,BLOOD C/E,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
10701,CBC with Peripheral Film,"Lymphocyte, Absolute",/mm3,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12280,Complete Blood Count- CBC,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12343,Complete Blood Count- CBC with ESR,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12344,Complete Blood Count- CBC with Blood Group,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12346,Complete Blood Count- CBC,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
12347,Complete Blood Count- CBC with Peripheral smear,"Lymphocyte, Absolute",*10^9/l,Decimal,p2231,"Lymphocyte, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
15,BLOOD C/E,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
32,DLC,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
42,HB. ELECTROPHORESIS,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
54,PERIPHERAL BLOOD SMEARS,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
5489,BLOOD C/E WITH ESR,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
5599,DLC,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
5700,BLOOD C/E,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
10701,CBC with Peripheral Film,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
11983,HB. ELECTROPHORESIS,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
11986,Peripheral blood Film,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
12280,Complete Blood Count- CBC,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
12343,Complete Blood Count- CBC with ESR,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
12344,Complete Blood Count- CBC with Blood Group,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
12346,Complete Blood Count- CBC,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
11959,ABSOLUTE LYMPHOCYTE COUNT,Lymphocytes,%,Decimal,p2232,Lymphocytes,%,numeric,,
42,HB. ELECTROPHORESIS,Malarial Parasite (MP),,Text,p2233,Malarial Parasite (MP),,text,,
54,PERIPHERAL BLOOD SMEARS,Malarial Parasite (MP),,Text,p2233,Malarial Parasite (MP),,text,,
46,MALARIAL PARASITE (M.P.),Malarial Parasite (MP),,Text,p2233,Malarial Parasite (MP),,text,,
12303,Malarial Parasite (MP) ICT,Malarial Parasite PF,,List,p2234,Malarial Parasite PF,,coded,,
12303,Malarial Parasite (MP) ICT,Malarial Parasite PV,,List,p2235,Malarial Parasite PV,,coded,,
10552,Cross Match & Screening,Malaril Parasite (MP),-,List,p2236,Malaril Parasite (MP),-,coded,,
12299,CROSS MATCH with Screening,Malaril Parasite (MP),-,List,p2236,Malaril Parasite (MP),-,coded,,
15,BLOOD C/E,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
42,HB. ELECTROPHORESIS,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
5489,BLOOD C/E WITH ESR,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
5700,BLOOD C/E,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
10701,CBC with Peripheral Film,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
11983,HB. ELECTROPHORESIS,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12280,Complete Blood Count- CBC,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12343,Complete Blood Count- CBC with ESR,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12344,Complete Blood Count- CBC with Blood Group,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12346,Complete Blood Count- CBC,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
12348,Hemoglobin (Hb) with RBC indices,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
49,MCHC,Mean Cell Hb Conc (MCHC),g/dl,Decimal,p2237,Mean Cell Hb Conc (MCHC),g/dl,numeric,,
15,BLOOD C/E,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
42,HB. ELECTROPHORESIS,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
5489,BLOOD C/E WITH ESR,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
5700,BLOOD C/E,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
10701,CBC with Peripheral Film,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
11983,HB. ELECTROPHORESIS,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12280,Complete Blood Count- CBC,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12343,Complete Blood Count- CBC with ESR,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12344,Complete Blood Count- CBC with Blood Group,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12346,Complete Blood Count- CBC,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12347,Complete Blood Count- CBC with Peripheral smear,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
12348,Hemoglobin (Hb) with RBC indices,Mean Cell Hemoglobin (MCH),pg,Decimal,p2238,Mean Cell Hemoglobin (MCH),pg,numeric,,
