"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","53","White Blood Cell (WBC/TLC)","Adult: 4.0 - 11.0Child: 6.0 - 17.5Neonate: 9.0 - 30.0","*10^9/l","","Standard","Decimal","0 - 999","4 - 11"
"","54","Neutrophils","Adult: 40 - 75Child: 32 - 60","%","","Standard","Decimal","0 - 100","40 - 75"
"","55","Monocytes","Adult: 2 - 10Child: 2 - 9","%","","Standard","Decimal","0 - 100","2 - 10"
"","56","Eosinophils","Adult: 01 - 05Child: 01 - 04","%","","Standard","Decimal","0 - 100","1 - 5"
"","57","Platelets Count","150 - 400","*10^9/l","","Standard","Decimal","0 - 99999","150 - 400"
"","58","Lymphocytes","Adult: 20 - 50Child: 26 - 40","%","","Standard","Decimal","0 - 100","20 - 50"
"","59","Glomerular Filtration Rate (GFR)","Normal or high: >=90","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 90"
"","60","HBsAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","61","HBeAg (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","62","HBeAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","63","HBcAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","64","Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","65","Glomerular Filtration Rate (GFR)CKD-EPI Creatinine (2021)","Normal or high: >=90Mild decrease: 60 - 89Mild to moderate decrease: 45 - 59Moderate to severe decrease: 30 - 44Severe decrease: 15 - 29","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 500"
"","66","Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","67","Glomerular Filtration Rate (GFR)CKD-EPI Creatinine (2021)","Normal or high: >=90Mild decrease: 60 - 89Mild to moderate decrease: 45 - 59Moderate to severe decrease: 30 - 44Severe decrease: 15 - 29","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 500"
"","68","Cotinine Drug (COT) Urine","","","","Descriptive","Text","0 - 500","0 - 99999"
"","69","APTT","22 - 34","Sec.","","Standard","Decimal","0 - 102","22 - 34"
"","70","Eosinophil, Absolute","0.02 - 0.50","*10^9/l","","Standard","Decimal","0 - 100","0.02 - 0.5"
"","71","Lymphocytes","20 - 50","%","","Standard","Decimal","0 - 100","20 - 50"
"","72","Monocytes","2 - 10","%","","Standard","Decimal","0 - 100","2 - 10"
"","73","Neutrophil, Absolute","2.0 - 7.0","*10^9/L","","Standard","Decimal","0 - 15","2 - 7"
"","74","Total Cell Count","-","/cu.mm","","Standard","Decimal","0 - 500","0 - 99999"
"","75","Albumin (Fluid)","-","g/dl","","Standard","Decimal","0 - 500","0 - 99999"
"","76","Protein (Spot Urine)","Less Than 35","mg/dl","","Standard","Decimal","0 - 105","0 - 35"
"","77","Amylase (Spot Urine)","Less Than 481","U/L","","Standard","Decimal","0 - 3000","0 - 481"
"","78","Bile Salt (Urine)","","","","Descriptive","Text","0 - 500","0 - 99999"
"","79","Bleeding Time (BT)","3 - 7","minutes","","Standard","Decimal","0 - 99","3 - 7"
"","80","ESR","Female: < 20Male: < 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 20"
"","81","Hemoglobin (HB)","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 500","11.5 - 17.5"
"","82","Red Blood Cell (RBC)","4 - 6","*10^12/l","","Standard","Machine","0 - 999999","4 - 6"
"","83","Hematocrit (HCT)","40.0 - 52.0","%","","Standard","Decimal","0 - 100","40 - 52"
"","84","Mean Cell Volume (MCV)","75.0 - 100.0","fl","","Standard","Decimal","0 - 250","75 - 100"
"","85","Mean Cell Hemoglobin (MCH)","25.0 - 35.0","pg","","Standard","Decimal","0 - 250","25 - 35"
"","86","Mean Cell Hb Conc (MCHC)","31.0 - 38.0","g/dl","","Standard","Decimal","0 - 250","31 - 38"
"","87","Red Cell Dist. Width (RDW-CV)","11.0 - 16.0","%","","Standard","Decimal","0 - 100","11 - 16"
"","88","Red Cell Dist. Width (RDW-SD)","35.0 - 56.0","fl","","Standard","Decimal","0 - 500","35 - 56"
"","89","Platelets Count","150 - 400","*10^9/l","","Standard","Machine","0 - 999999","150 - 400"
"","90","Mean Platelet Volume (MPV)","7.0 - 11.0","fL","","Standard","Decimal","0 - 500","7 - 11"
"","91","Platelet Distribution Width (PDW)","9.0 - 17.0","-","","Standard","Decimal","0 - 500","9 - 17"
"","92","Plateletcrit (PCT)","1.08 - 2.82","mL/L","","Standard","Decimal","0 - 500","1.08 - 2.82"
"","93","P-LCC","30 - 90","*10^9/l","","Standard","Decimal","0 - 500","30 - 90"
"","94","P-LCR","0.110 - 0.450","-","","Standard","Decimal","0 - 500","0.11 - 0.45"
"","95","White Blood Cell (WBC/TLC)","4 - 11","*10^9/l","","Standard","Decimal","0 - 999","4 - 11"
"","96","Neutrophils","40 - 75","%","","Standard","Machine","0 - 999999","40 - 75"
"","97","Eosinophil","1 - 6","%","","Standard","Decimal","0 - 100","1 - 6"
"","98","Basophils","0.0 - 1.0","%","","Standard","Decimal","0 - 100","0 - 1"
"","99","Lymphocyte, Absolute","0.80 - 4.0","*10^9/l","","Standard","Decimal","0 - 500","0.8 - 4"
"","100","Monocyte, Absolute","0.12 - 1.20","*10^9/l","","Standard","Decimal","0 - 500","0.12 - 1.2"
"","101","Basophil, Absolute","0.00 - 0.10","*10^9/l","","Standard","Decimal","0 - 500","0 - 0.1"
"","102","Band Cells","Less than 10","%","","Standard","Decimal","0 - 100","0 - 10"
"","103","Promeyelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 0"
"","104","Metamyelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","105","Myelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","106","Atypical Mononuclear/ Blast cells","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","107","Corrected WBC's","-","/cmm","","Standard","Decimal","0 - 500","0 - 99999"
"","108","Nucleated RBCs","-","/100 WBC's","","Standard","Decimal","0 - 500","0 - 99999"
"","109","Note","","","","Descriptive","Text","0 - 500","0 - 99999"
"","110","Heamoglobin","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 52.5","11.5 - 17.5"
"","111","Patient Blood Group","-","-","","Standard","List","0 - 500","0 - 99999"
"","112","Donor Blood Group","-","-","","Standard","List","0 - 500","0 - 99999"
"","113","Donor Name","-","-","","Standard","Text","0 - 250","0 - 99999"
"","114","HBsAg (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","115","Anti HCV (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","116","HIV (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","117","RPR (VDRL)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","118","Malaril Parasite (MP)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","119","Cross Match","-","-","","Standard","Text","0 - 250","0 - 99999"
"","120","Blood Bag Number","-","-","","Standard","Text","0 - 250","0 - 99999"
"","121","Blood Collection Date","-","-","","Standard","Date","2022-10-01 - 2026-12-31","0 - 99999"
"","122","Specimen","","","","Descriptive","AutoComplete","0 - 500","0 - 99999"
"","123","Gross Examination","","","","Descriptive","Text","0 - 500","0 - 99999"
"","124","Microscopy","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","125","Conclusion","","","","Descriptive","Text","0 - 500","0 - 99999"
"","126","BUN/Creatinine Ratio","5 - 20","","","Standard","Decimal","0 - 60","5 - 20"
"","127","Creatinine (Spot Urine)","60 - 166","mg/dl","","Standard","Decimal","0 - 498","60 - 166"
"","128","Calcium (Spot Urine)","42 - 353","mg/L","","Standard","Decimal","0 - 1059","42 - 353"
"","129","Calcium/Creatinine (Spot Urine)","-","","","Standard","Decimal","0 - 500","0 - 99999"
"","130","Blast Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","131","Promyelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","132","Basophil","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","133","Citrate (24 Hours Urine)","0.3 - 0.9","mg/24 hrs","","Standard","Decimal","0 - 2.7","0.3 - 0.9"
"","134","Volume","-","ml","","Standard","Decimal","0 - 250","0 - 99999"
"","135","Clotting Time (CT)","4 - 11","minutes","","Standard","Decimal","0 - 99","4 - 11"
"","136","Coombs Test Indirect","","","","Descriptive","Text","0 - 250","0 - 99999"
"","137","Coombs Test Direct","","","","Descriptive","Text","0 - 250","0 - 99999"
"","138","Creatinine (24 hrs urine)","0.5 - 1.5","G/24 hrs","","Standard","Decimal","0 - 4.5","0.5 - 1.5"
"","139","Total Volume","-","ml","","Standard","Decimal","0 - 9999","0 - 99999"
"","140","Donor Heamoglobin (HB)","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 52.5","11.5 - 17.5"
"","141","Saline Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","142","Bovine Albumin Phase at R.T.","-","-","","Standard","Text","0 - 250","0 - 99999"
"","143","Bovine Albumin Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","144","Coombs Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","145","ZN Stain","","","","Descriptive","Text","0 - 500","0 - 99999"
"","146","Metamyelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","147","Myelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","148","Drain Urine for Urea","","","","Descriptive","Text","0 - 500","0 - 99999"
"","149","Gram stain","","","","Descriptive","Text","0 - 250","0 - 99999"
"","150","Eosinophil, Absolute","0.04 - 0.40","*10^9/l","","Standard","Decimal","0 - 1.2","0.04 - 0.4"
"","151","Erythropoietin (EPO)","4.3 - 29.99","mIU/ml","","Standard","Decimal","0 - 89.97","4.3 - 29.99"
"","152","ESR","Female: Less than 20Male: Less than 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 20"
"","153","Blood Sugar 1-HRS","60 - 140","mg/dl","","Standard","Decimal","0 - 420","60 - 140"
"","154","Blood Sugar Fasting","60 - 110","mg/dl","","Standard","Decimal","0 - 420","60 - 140"
"","155","Blood C/E (Complete, CBC)","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","156","Red Blood Cell (RBC)","4.0 - 6.0","*10^12/l","","Standard","Decimal","0 - 999","4 - 6"
"","157","RBC Morphology","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","158","Hypochromia","","","","Descriptive","Text","0 - 500","0 - 99999"
"","159","RBC's Morphology:","","","","Descriptive","Text","0 - 250","0 - 99999"
"","160","WBC's morphology:","","","","Descriptive","Text","0 - 500","0 - 99999"
"","161","Microcytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","162","Macrocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","163","PLATELETS:","","","","Descriptive","Text","0 - 500","0 - 99999"
"","164","Teardrop cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","165","Malarial Parasite (MP)","","","","Standard","Text","0 - 250","0 - 99999"
"","166","Anisocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","167","Poikilocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","168","Pencil Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","169","Normocytic","","","","Descriptive","Text","0 - 500","0 - 99999"
"","170","Normochromic","","","","Descriptive","Text","0 - 500","0 - 99999"
"","171","Target Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","172","Acanthocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","173","Spherocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","174","Nucleated RBCs","","","","Descriptive","Text","0 - 500","0 - 99999"
"","175","Mild RBCs Fragmentation","","","","Descriptive","Text","0 - 500","0 - 99999"
"","176","Schistocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","177","Polychromasia","","","","Descriptive","Text","0 - 500","0 - 99999"
"","178","Lymphocytes","Adult: 25 - 40, Child: 45- 70","%","","Standard","Decimal","0 - 100","25 - 70"
"","179","Neutrophils","Adult: 55 - 70, Child: 20 - 45","%","","Standard","Decimal","0 - 100","20 - 70"
"","180","Eosinophils","Adult: 01 - 05, Child: 02 - 07","%","","Standard","Decimal","0 - 100","1 - 7"
"","181","Blast cells","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","182","Remarks","","","","Descriptive","Text","0 - 500","0 - 99999"
"","183","HB. Electrophoresis","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","184","HB-A","96 - 99","%","","Standard","Decimal","0 - 100","96 - 99"
"","185","HB-C","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","186","HB-F","0.1 - 1.0","%","","Standard","Decimal","0 - 100","0.1 - 1"
"","187","HB-A2","1.8 - 3.2","%","","Standard","Decimal","0 - 100","1.8 - 3.2"
"","188","HB-S/D","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","189","HCT (PCV)","38.0 - 52.0","%","","Standard","Decimal","0 - 100","38 - 52"
"","190","L.D.H (CSF)","20 - 45","","","Standard","Decimal","0 - 99999","20 - 45"
"","191","lipase (Fluid)","30 - 180","U/L","","Standard","Decimal","0 - 540","30 - 180"
"","192","Malarial Parasite (Thick & Thin)","","","","Descriptive","Text","0 - 500","0 - 99999"
"","193","Mean Cell Hemoglobin (MCH)","25 - 35","pg","","Standard","Decimal","0 - 105","25 - 35"
"","194","Mean Cell Hb Conc (MCHC)","30 - 35","g/dl","","Standard","Decimal","0 - 105","30 - 35"
"","195","Oxalate (24 Hours Urine)","2.0 - 40.0","mg/24 hrs","","Standard","Decimal","0 - 120","2 - 40"
"","196","Platelets","","","","Descriptive","Text","0 - 500","0 - 99999"
"","197","RBC's Morphology","","","","Descriptive","Text","0 - 500","0 - 99999"
"","198","WBC's Morphology","","","","Descriptive","Text","0 - 500","0 - 99999"
"","199","Platelets Count","","","","Descriptive","Text","0 - 500","0 - 99999"
"","200","DLC","-","","","Standard","Text","0 - 500","0 - 99999"
