"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","802","Anti Histones","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","803","Anti PCNA IgG","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","804","Anti Ribosome Protein IgG","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","805","Anti Centromere B","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","806","Anitbodies Related toPolymyositis/Scleroderma Overlap Syndrome","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","807","Anti PM/Scl IgG","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","808","Anti-mitochondrial-M2 Ab (AMA-M2)","See Below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","809","Cut Off Value","*","*","1.00","Descriptive","Text","0 - 250","0 - 99999"
"","810","ANTI SMOOTH MUSCLE ANTIBODIES (SMA) :","0.0 to 20.0","Au/ml","","Standard","Text","0 - 500","0 - 99999"
"","811","ESTRADIOL","Adult Male 10 - 40 pg/mLAdult FemalePremenopausal 9 - 35O pg/mLPostmenopausal < 10 pg/mLFemale through menstrual cycleFollicular Phase 9 - 175 pg/mLLuteal Phase 44 - 196 pg/mLPeriovulatory 107 - 281pg/mL","pg/mL","","Standard","Text","0 - 500","0 - 99999"
"","812","HELICOBACTER PYLORI Abs (IgA)","NEGATIVE < 0.9 EQUIVOCAL 0.9 - 1.1POSITIVE > 1.1","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","813","HELICOBACTER PYLORI Abs (IgG)","NEGATIVE	< 0.9INTERMEDIATE	0.9 - 1.2POSITIVE	> 1.2","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","814","HELICOBACTER PYLORI Abs IgM","See below","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","815","Homocystine (Urine)","5-15","µmol/l","","Standard","Text","0 - 500","0 - 99999"
"","816","ProBNP (N-t) II","<300","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","817","TRANSFERRIN SATURATION","Male: 12 - 36Female:10 - 39","%","","Standard","Text","0 - 500","0 - 99999"
"","818","SERUM CALCIUM","8.6 - 10.3","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","819","Bilirubin","Negative","","","Standard","Text","0 - 250","0 - 99999"
"","820","ALKALINE PHOSPHATASE","Adult: 80 - 306Child: 80 - 640","U/L","","Standard","Text","0 - 500","0 - 99999"
"","821","GROSS EXAMINATION","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","822","Mucus","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","823","Parasite","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","824","Occult Blood","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","825","Pus Cells/WBC","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","826","RBC","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","827","Fats","Nil","","","Standard","Text","0 - 250","0 - 99999"
"","828","igG","Negative","-","","Standard","List","0 - 500","0 - 99999"
"","829","igM","NEGATIVE","-","","Standard","Text","0 - 500","0 - 99999"
"","830","ProBNP (N-t) II","See below","pg/mL","-","Standard","Decimal","0 - 500","30 - 35000"
"","831","CULTURE","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","832","IgM","SEE BELOW","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","833","SGPT (ALT)","0 - 41","U/L","","Standard","Text","0 - 500","0 - 99999"
"","834","TOTAL LIPIDS","100 - 400","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","835","T4","Cord Blood :7.4 - 13 1 - 3 days:12 - 23 1 - 2 weeks:9.9 - 17 1 - 4 months:7.2 - 14 4 - 12 months:7.8 - 16 Childern:5.6 - 15 Adults:4.6 - 11","nmol/L","","Standard","Text","0 - 500","0 - 99999"
"","836","TSH","Euthyroid 0.17 - 4.05Hyperthyroid <0.15Untreated hyperthyroid >5","µIU/mL","","Standard","Text","0 - 500","0 - 99999"
"","837","TESTOSTERONE","Children Male:4 Days - 6 Month: 0.09 - 2.996 Month - 9 Yrs: Upto 0.3610 Yrs - 13 Yrs: Upto 0.2314 Yrs - 16 Yrs: 0.36 - 6.3217 Yrs - 19 Yrs: 1.48 - 7.94Adult Males:20-49 Years: 0.47 - 9.80>=50 years: 1.27 - 10.20Children Female:4 Days - 9 Yrs: 0.01 - 0.6210 Yrs - 13 Yrs: Upto 0.2814 Yrs - 19 Yrs: 0.10 - 0.49Adult Females:20-49 Years: 0.07 - 0.79>= 50 years: 0.09 - 0.37","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","838","FREE T4 (FT4)","11.50 - 23.80","pmol/L","","Standard","Text","0 - 500","0 - 99999"
"","839","White Blood Cell (WBC/TLC)","4000 - 11000","/ cu mm","","Standard","Decimal","0 - 999999","4000 - 11000"
"","840","Hemoglobin (Hb%)","M: 13.5-17.5,F: 11.5 - 14.0CH 12.0 - 16.0","g/dl","","Standard","Decimal","0 - 999","10 - 18"
"","841","Others","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","842","Platelets Count","150000 - 400000","/cu mm","","Standard","Decimal","0 - 999999","150000 - 400000"
"","843","pH (Urine)","-","","","Standard","Text","0 - 500","0 - 99999"
"","844","SPUTUM FOR FUNGAL HYPHAE/ SPORES","-","-","","Standard","Text","0 - 500","0 - 99999"
"","845","ICT FOR TB","-","-","","Standard","Text","0 - 500","0 - 99999"
"","846","TOTAL PROTEIN","6.1 - 7.9","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","847","SERUM ALBUMIN","3.8 - 5.1","g/dl","","Standard","Text","0 - 500","0 - 99999"
"","848","SERUM GLOBULIN","1.8 - 3.2","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","849","SERUM CREATININE","MALE: 0.7 - 1.2FEMALE: 0.6 - 0.9","mg/dl","","Standard","Decimal","0 - 500","0 - 1.5"
"","850","SERUM IRON","60 - 160","µg/dL","","Standard","Text","0 - 500","0 - 99999"
"","851","Blood Glucose Random","60-140","mg/dl","","Standard","Decimal","0 - 500","60 - 140"
"","852","BLOOD UREA","10-50","mg/dl","","Standard","Decimal","0 - 250","0 - 60"
"","853","Reducing Substance","-","","","Standard","Text","0 - 500","0 - 99999"
"","854","Haemoglobin","M: 13.5 - 17.5,  F: 11.5 -14.0","g/dl","","Standard","Decimal","0 - 500","10 - 18"
"","855","Amorphous urates","-","-","","Standard","Text","0 - 250","0 - 99999"
"","856","Note:","*","*","","Descriptive","Text","0 - 250","0 - 99999"
"","857","SERUM CREATININE","MEN: 0.7 - 1.2WOMEN: 0.6 - 0.9","mg/dl","","Standard","Decimal","0 - 500","0 - 1.5"
"","858","URIC ACID","FEMALES: 2.4 - 5.7MALES:   3.4 - 7.0","mg/dl","","Standard","Decimal","0 - 500","0 - 7"
"","859","SERUM POTASSIUM","3.5 - 5.4","mmol/L","","Standard","Text","0 - 250","0 - 99999"
"","860","Serum Chloride","98 - 108","mmol/l","","Standard","Decimal","0 - 999","98 - 108"
"","861","SERUM BICARBONATE","23 - 33","meq/L","","Standard","Text","0 - 250","0 - 99999"
"","862","SERUM CHOLESTEROL","< 200","mg/dl","","Standard","Decimal","0 - 500","0 - 200"
"","863","SERUM TRIGLYCERIDES","< 200","mg/dl","","Standard","Decimal","0 - 500","0 - 200"
"","864","ALKALINE PHOSPHATASE","ADULT < 270CHILD < 645","U/L","","Standard","Text","0 - 500","0 - 99999"
"","865","SERUM AMYLASE","< 125","U/L","","Standard","Decimal","0 - 500","0 - 125"
"","866","SERUM ALBUMIN","3.5 - 5.5","g/dL","","Standard","Decimal","0 - 500","3.4 - 5.6"
"","867","BILIRUBIN TOTAL","0.1 - 1.1","mg/dl","","Standard","Decimal","0 - 250","0 - 1.4"
"","868","SGOT (AST)","8-40","U/L","","Standard","Text","0 - 500","0 - 99999"
"","869","Globulins","1.8 - 3.4","g/dl","","Standard","Formula","0 - 999999","1.8 - 3.4"
"","870","Blood Glucose Random(02 hrs after intake of 75 grams of glucose)","70 - 140","mg/dl","","Standard","Decimal","0 - 500","70 - 170"
"","871","C.P.K","24-195","U/L","","Standard","Decimal","0 - 500","24 - 195"
"","872","L.D.H","230 - 460","U/L","","Standard","Decimal","0 - 99999","230 - 460"
"","873","SERUM MAGNESIUM","1.9 - 2.5","mEq/l","","Standard","Text","0 - 500","0 - 99999"
"","874","HbA1c","4.2 - 7.0","%","","Standard","Text","0 - 500","0 - 99999"
"","875","HDL","28 - 60","mg/dl","","Standard","Decimal","0 - 99999","28 - 60"
"","876","LDL","110 - 170","mg/dl","","Standard","Decimal","0 - 9999","110 - 170"
"","877","ESR","0-20","mm/1st hr","","Standard","Decimal","0 - 250","0 - 20"
"","878","INR","-","Ratio","","Standard","Text","0 - 250","0 - 99999"
"","879","RETICULOCYTE COUNT","Adult:    0.5-2.5Infant:   2 - 5","%","","Standard","Text","0 - 500","0 - 99999"
"","880","APTT","34-42","Sec.","","Standard","Text","0 - 500","0 - 99999"
"","881","URINE FOR KETONES","-","","","Standard","Text","0 - 500","0 - 99999"
"","882","PROTEIN(24 HOURS URINE)","28-140","mg/24 Hours","","Standard","Text","0 - 250","0 - 99999"
"","883","PROTEIN / CREATININE RATIO","Children < 2 Years < 0.5Adults & Children > 2 Years < 0.2","-","","Standard","Text","0 - 500","0 - 99999"
"","884","R.A FACTOR (QUANTITATIVE)","< 12","IU/mL","","Standard","Text","0 - 500","0 - 99999"
"","885","HBsAg Screening","-","-","","Standard","Text","0 - 500","0 - 99999"
"","886","VDRL","-","-","","Standard","Text","0 - 250","0 - 99999"
"","887","Red Blood Cell (RBC)","4.5 - 6.5","*10^12/l","","Standard","Decimal","0 - 999","4.5 - 6.5"
"","888","Anti Helicobacter Pylori Screening","-","","","Standard","Text","0 - 500","0 - 99999"
"","889","HCV Screening","-","-","","Standard","Text","0 - 500","0 - 99999"
"","890","ANTI HIV - 1&2 (ICT)","-","-","","Standard","Text","0 - 500","0 - 99999"
"","891","MONOSPOT TEST","Negative : < 5.0Doubt full : 5.0 - 9.0Positive : > 10.0","mm","","Standard","Text","0 - 500","0 - 99999"
"","892","Dengue NS1 Antigen",".","","","Standard","Text","0 - 500","0 - 99999"
"","893","CUT OFF VALUE","-","","","Descriptive","List","0 - 500","0 - 99999"
"","894","LDH (FLUID)","-","U/L","","Standard","Text","0 - 500","0 - 99999"
"","895","STOOL FOR OCCULT BLOOD","-","","","Standard","List","0 - 500","0 - 99999"
"","896","STOOL FOR REDUCING SUBSTANCE","-","","","Standard","List","0 - 500","0 - 99999"
"","897","Time of collection:","-","","","Descriptive","Text","0 - 250","0 - 99999"
"","898","Actively motile","-","%","","Standard","Text","0 - 500","0 - 99999"
"","899","Sluggish","-","%","","Standard","Text","0 - 500","0 - 99999"
"","900","Total sperm count","> 40 Millions/ml","Millions/ml","","Standard","Text","0 - 500","0 - 99999"
"","901","SGPT (ALT)","MEN: up to 40WOMEN: up to 32","U/L","","Standard","Decimal","0 - 9999","0 - 40"
"","902","Troponin-I Qualitative","","","","Standard","Text","0 - 500","0 - 99999"
"","903","Inorganic Phosphorus (PO4)","2.50 - 5.0","mg/dL","","Standard","Decimal","0 - 500","2.4 - 5.5"
"","904","BILIRUBIN DIRECT","UPTO 0.25","mg/dl","","Standard","Decimal","0 - 500","0 - 1"
"","905","BILIRUBIN INDIRECT","0.1 - 0.75","mg/dl","","Standard","Decimal","0 - 500","0 - 1.5"
"","906","Ict for TB","Negative","","","Standard","Text","0 - 500","0 - 99999"
"","907","eGFR","> 60","ML/MINT","","Standard","Text","0 - 500","0 - 99999"
"","908","R.A FACTOR","-","","","Standard","Text","0 - 500","0 - 99999"
"","909","STOOL FOR H.PYLORI ANTIGEN","-","","","Standard","Text","0 - 500","0 - 99999"
"","910","BILIRUBIN CONJUGATED","0 - 0.3","mg/dl","","Standard","Text","0 - 250","0 - 99999"
"","911","ANA (ANTI NUCLEAR ANTIBODIES)","-","","","Standard","Text","0 - 500","0 - 99999"
"","912","URINE SUGAR","-","","","Standard","Text","0 - 500","0 - 99999"
"","913","STOOL FOR pH","-","","","Standard","Text","0 - 500","0 - 99999"
"","914","TROPONIN-T","0.0 - 0.05","ng/ml","","Standard","Decimal","0 - 500","0 - 0.05"
"","915","URINE FOR PH","-","","","Standard","Text","0 - 500","0 - 99999"
"","916","SERUM FERRITIN","Male:38-457Female:Premenopausal:7.4-73Menopausal:14-165children:0-6 months:1.0-4340.5-15 years:2.0-13515-18 years:5.0-127Girls:15-18 years:5.0-127Ferritin concentration are agedependent. They are also influencedby the lack of iron caused bymenstrual bleeding in women.Therefore we recommend that eachlaboratory establish its ownreference values, based on clinicallycharacterized data.","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","917","Clotting Time (CT)","5 - 15","minutes","","Standard","Decimal","0 - 99","5 - 15"
"","918","Creatinine (24 hrs urine)","0.6-10","G/24 hrs","","Standard","Text","0 - 500","0 - 99999"
"","919","AMA (ANTI MICROSOMAL ANTIBODIES) BLOOD","Negative < 0.90Grey Zone  0.90 - 1.10Positive > 1.10","AU/ml","","Standard","Text","0 - 500","0 - 99999"
"","920","Hemoglobin (HB)","F: 11 - 14M: 13 - 17CH 12 - 16","g/dl","","Standard","Decimal","0 - 999","11 - 16"
"","921","ICT FOR TB","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","922","TOTAL PROTEIN","6.6 - 8.3","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","923","SERUM CREATININE","MEN: 0.7 - 1.2WOMEN: 0.6 - 0.9","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","924","CREATININE (FLUID)","MEN: 0.7 - 1.2WOMEN: 0.6 - 1.0","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","925","CREATININE","MEN: 0.7 - 1.2WOMEN: 0.6 - 1.1","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","926","TRIGLYCERIDES","< 200","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","927","ALKALINE PHOSPHATASE","ADULT < 258CHILD < 727","U/L","","Standard","Text","0 - 500","0 - 99999"
"","928","BILIRUBIN TOTAL","0.1 - 1.2","mg/dl","","Standard","Decimal","0 - 999","0.1 - 1.2"
"","929","ALKALINE PHOSPHATASE","ADULT < 260CHILD < 800","U/L","","Standard","Text","0 - 500","0 - 99999"
"","930","BLOOD SUGAR RANDOM(02 hrs after intake of 75 grams of glucose)","60-140","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","931","URINE FOR KETONES","-","","NIL","Descriptive","Text","0 - 500","0 - 99999"
"","932","HBsAg Screening","NEGATIVE","","","Descriptive","Text","0 - 500","0 - 99999"
"","933","VDRL","-","-","","Descriptive","Text","0 - 250","0 - 99999"
"","934","HCV Screening","NEGATIVE","","","Descriptive","Text","0 - 500","0 - 99999"
"","935","Hemoglobin (HB)","F: 10.5 - 14.0M: 14.5 - 17.5CH 12.0 - 16.0","g/dl","","Standard","Decimal","0 - 999","0 - 99999"
"","936","Urine Albumin","-","","","Standard","Text","0 - 500","0 - 99999"
"","937","ANA (ANTI NUCLEAR ANTIBODIES)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","938","URINE SUGAR","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","939","STOOL FOR pH","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","940","URINE FOR PH","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","941","SPUTUM FOR AFB","-","","","Standard","Text","0 - 500","0 - 99999"
"","942","BLOOD FOR PREGNANCY TEST","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","943","ANTI TISSUE TRANSGLUTAMINASE IgA","Negative < 3.5Positive >3.5","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","944","ANTI TISSUE TRANSGLUTAMINASE IgG","Negative < 3.5Positive >3.5","U/mL","","Standard","Text","0 - 500","0 - 99999"
"","945","Intact parathyroid hormone (IPTH)","14.5 - 87.1","pg/mL","","Standard","Text","0 - 500","0 - 99999"
"","946","Intact Parathyroid Hormone (IPTH)","15.00  -  68.30","pg/ml","","Standard","Decimal","0 - 500","15 - 68.3"
"","947","Diagnosis:","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","948","SERUM IRON","50 - 150","mg/dl","","Standard","Decimal","0 - 200","50 - 150"
"","949","Anti Mullerian Hormone (AMH)","* Female:20-24 Years:1.19-11.8825-29 Years:0.892- 9.7730-34 Years:0.566- 8.0735-39 Years:0.141- 7.5240-44 Years:0.026- 5.4545-50 Years:0.01-2.67","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","950","ESR","M.0-10 F.0-20","mm/1st hr","","Standard","Decimal","0 - 250","0 - 10"
"","951","White Blood Cell (WBC/TLC)","4 - 11","X10^3/uL","","Standard","Decimal","0 - 999","4 - 11"
"","952","PATIENT'S VALUE","NEGATIVE <1.00POSITIVE >1.20","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","953","ALKALINE PHOSPHATASE","ADULT 60 - 120CHILD < 200","U/L","","Standard","Decimal","0 - 500","60 - 200"
"","954","ALKALINE PHOSPHATASE","ADULT 60 - 120CHILD 60 - 200","U/L","","Standard","Text","0 - 500","0 - 99999"
"","955","L.D.H","140 - 280","U/L","","Standard","Decimal","0 - 99999","0 - 99999"
"","956","HbA1c","INTERPRETATION OF RESULT:Normal:                 (<5.7%)Pre-Diabetes:        (5.7 - 6.4%)Diabetes:               (>6.4%)4.5- 6.4       (Ideal, Excellent Control) 6.5- 7.0       (Desirable Control) 7.1- 8.0      (Suboptimal Control) >8.1          (Very Poor Control","%","","Standard","Decimal","0 - 16.0","0 - 8"
"","957","IgE","* * *Reference IntervalChildren up to 2 months:0- 1.502 months to 1 year:0 - 15.01 to 5 years:0 - 60.05 to 9 years:0 - 90.09 to 15 years:0 - 200.0Adult,Male:0 - 100Female:0 - 100","IU/ml","","Standard","Text","0 - 500","0 - 9999999999"
"","958","SERUM TRIGLYCERIDES","Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500","mg/dl","","Standard","Decimal","0 - 500","150 - 500"
"","959","SERUM CHOLESTEROL","Desirable: < 200Boderline High: 200 - 239High: > 240","mg/dl","","Standard","Decimal","0 - 500","200 - 240"
"","960","HDL","No Risk : > 60Moderate Risk: 40 - 60High Risk : < 40","mg/dl","","Standard","Decimal","0 - 500","40 - 60"
"","961","LDL","Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190","mg/dl","","Standard","Decimal","0 - 500","99 - 190"
"","962","RETICULOCYTE COUNT","0.50 - 2.00","%","","Standard","Text","0 - 500","0 - 99999"
"","963","Coombs Test Direct","","","","Standard","Text","0 - 500","0 - 99999"
"","964","URINE FOR PREGNANCY TEST","","","","Standard","Text","0 - 500","0 - 99999"
"","965","BETA HCG","* Premenopausal women:<1-2.969Postmenopausal women:<1-7.6524-5 weeks of pregnancy:23.93 - 81066-8 weeks of pregnancy:249.1 - 1872599- 12 weeks:33065 - 23561413-24 weeks of pregnancy:6802 - 7455825-40 weeks of pregnancy:3117 - 65019","IU/L","","Standard","Text","0 - 500","0 - 99999"
"","966","R.A FACTOR (QUANTITATIVE)","Normal Value 20.0","mg/L","","Standard","Decimal","0 - 500","0 - 20"
"","967","C-REACTIVE PROTEIN (CRP) Quantitative","0-1","mg/L","","Standard","Decimal","0 - 500","0 - 1"
"","968","ALPHA FETO-PROTEIN","Less Than 8.5","µIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","969","VDRL","","","","Standard","Text","0 - 500","0 - 99999"
"","970","TPHA (Syphilis)","Non Reactive    < 1.0         Reactive        > 1.0","IU/ml","","Standard","Text","0 - 500","0 - 9999999"
"","971","HCV Screening","","","","Standard","Text","0 - 500","0 - 99999"
"","972","ANTI HIV - 1&2 (ICT)","","","","Standard","Text","0 - 500","0 - 99999"
"","973","Monomeric Prolactin","1.8 - 20","ng/mL","","Standard","Decimal","0 - 999","1.8 - 20"
"","974","F.D.P's (D-DIMER)","0.00 - 0.50","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","975","PATIENT'S VALUE","NEGATIVE <1.00POSITIVE >1.20","U/ml","","Descriptive","Text","0 - 500","0 - 99999"
"","976","Dengue NS1 Antigen","Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1","","","Standard","Decimal","0 - 999","0 - 99999"
"","977","PATIENT'S VALUE","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","978","SPUTUM FOR AFB","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","979","T3","1.20 - 2.80","nmol/l","","Standard","Text","0 - 500","0 - 99999999"
"","980","T4","60.00 - 160.00","nmol/l","","Standard","Text","0 - 500","0 - 99999999"
"","981","TSH","0.17 - 5.50* Reference ValuesPremature:0.7 - 27Cord Blood:2.3 - 13.21 - 4 days:1.0 - 392 - 20 weeks:1.7 - 9.1","mIU/L","","Standard","Text","0 - 500","0 - 9999999999"
"","982","Remarks:","This Test Performed on Access 2(CLIA).","","","Descriptive","Text","0 - 500","0 - 99999"
"","983","TSH","0.17 5.50* Reference ValuesPremature:0.7 - 27Cord Blood:2.3 - 13.21 - 4 days:1.0 - 392 - 20 weeks:1.7 - 9.1","mIU/ml","","Standard","Text","0 - 500","0 - 9999999"
"","984","TESTOSTERONE","* Adult Female :0.10 - 0.90Children.0-2 Years:0.07 - 0.183-7 Years:0.07 - 0.208 - 11 Years:0.20 - 0.4012-14 Years:0.30 - 0.70","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","985","PROLACTIN","* Follicular phase: 2.72 - 29.4Preovulatory peak: 6.91 - 27.9Luteal phase: 2.64 - 37.2Postmenopausal: 2.77 - 14.4","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","986","Progesterone Level","Follicular phase: 0.06 - 1.26Luteal Phase: 2.5 - 25.0Ovulation Phase: 0.08 - 1.20Postmenopause: 0.06 - 1.6","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","987","CORTISOL PM","138.0 - 690.0","nmol/l","","Standard","Text","0 - 500","0 - 99999"
"","988","FREE T3","1.50 - 5.00","pmol/l","","Standard","Text","0 - 500","0 - 99999"
"","989","FREE T4","11.50 - 23.00","pmol/l","","Standard","Text","0 - 500","0 - 99999"
"","990","SERUM FERRITIN","Pre-menopausal Female:10 -- 124Menopausal Female:14 - 165Newborn:22 - 220Children 6 Month - 15 Years:7 -- 140","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","991","Cysts of protozoa","-","","Not Seen.","Standard","Text","0 - 250","0 - 99999"
"","992","Vegetative forms","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","993","Remarks","-","","","Standard","Text","0 - 500","0 - 99999"
"","994","STOOL FOR REDUCING SUBSTANCE","-","","","Descriptive","List","0 - 500","0 - 99999"
"","995","Hemoglobin (HB)","M: 13.5-17.5,F: 11.5 - 14.0CH 12.0 - 16.0","g/dl","","Standard","Decimal","0 - 999","11.5 - 17.5"
"","996","Red Blood Cell (RBC)","4.5 - 6.5","*10^12/l","","Standard","Machine","0 - 999999","4.5 - 6.5"
"","997","Platelets Count","150 - 400","*10^9/l","","Standard","Decimal","0 - 99999","150 - 400"
"","998","VITAMIN B12 LEVEL","Newborn: 160 - 1100Adult:Male: 250 - 600Female: 250 - 600Adult > 60y : 110 - 600","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","999","ESTIMATED GLOMERULAR FILTRATION RATE (EGFR)","90-00 120-00","ml/min","","Standard","Decimal","0 - 500","90 - 120"
"","1000","R.A FACTOR","","","","Standard","Text","0 - 500","0 - 9999999"
"","1001","STOOL FOR H.PYLORI ANTIGEN","NEGATIVE	< 0.9INTERMEDIATE	0.9 - 1.2POSITIVE	> 1.2","","","Standard","Decimal","0 - 500","0 - 1.2"
"","1002","ANA (ANTI NUCLEAR ANTIBODIES)","Positive > 25.0 Negative < 25.0","","","Standard","Text","0 - 500","1 - 99999"
"","1003","TPHA (Syphilis)","Non-Reactive: < 15.0Reactive: > 15.0","IU/ml","","Standard","Decimal","0 - 250","0 - 15"
"","1004","SPOT URINE PROTEIN","< 12","mg/dl","","Standard","Decimal","0 - 500","0 - 13"
"","1005","SPOT URINE CREATININE","30-220","mg/dl","","Standard","Decimal","0 - 500","30 - 220"
"","1006","SPOT URINE PROTEIN/CREATININE RATIO","-","","","Standard","Text","0 - 500","0 - 99999"
"","1007","Leukocytes","Nil","","","Standard","Text","0 - 500","0 - 99999"
"","1008","VITAMIN B12 LEVEL","200 - 1100","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","1009","Differential Leukocyte Count","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1010","Absolute Differential Count","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1011","PH","-","-","","Descriptive","Text","0 - 250","0 - 99999"
"","1012","Dengue NS1 Antigen","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1013","Time of collection","","","","Descriptive","Text","0 - 250","0 - 99999"
"","1014","Sluggish","","%","","Standard","Text","0 - 500","0 - 99999"
"","1015","Immotile","","%","","Standard","Text","0 - 250","0 - 99999"
"","1016","Malarial Parasite (MP)","-","-","","Standard","Text","0 - 250","0 - 99999"
"","1017","Mean Cell Volume (MCV)","76.0 - 96.0","fl","","Standard","Decimal","0 - 250","70 - 100"
"","1018","Direct Bilirubin","0.3-0.8","mg/dl","","Standard","Decimal","0 - 500","0.1 - 0.8"
"","1019","Indirect Bilirubin","0.1-0.3","mg/dl","","Standard","Decimal","0 - 500","0 - 0.3"
"","1020","Total Bilirubin","0.3-1.1","mg/dl","","Standard","Decimal","0 - 500","0.3 - 1.1"
"","1021","Alkalaine Phosphatase","Adult: 80-306Child (0-10 year) : 80-640","u/l","","Standard","Decimal","0 - 5000","80 - 306"
"","1022","PH","","","","Descriptive","List","0 - 250","0 - 0"
"","1023","Pus Cells","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","1024","Red Blood Cells","","","NIL","Descriptive","Text","0 - 500","0 - 99999"
"","1025","Epithelial Cells","","","NIL","Descriptive","Text","0 - 500","0 - 99999"
"","1026","Bacteria","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","1027","PROTHROMBIN TIME (PT)","12-16","Sec","","Standard","List","0 - 120","12 - 16"
"","1028","Control","14 Sec","Sec","14 Sec","Standard","Decimal","14 - 500","14 - 14"
"","1029","APTT","33 - 37","Sec","","Standard","Decimal","0 - 180","33 - 37"
"","1030","Pus Cells","-","","","Standard","Text","0 - 250","0 - 99999"
"","1031","Red Blood Cells","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1032","Epithelial Cells","-","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1033","Bacteria","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","1034","Yeast Cells","-","","NIL","Standard","Text","0 - 250","0 - 99999"
"","1035","PH","Neutral","","","Standard","List","0 - 250","0 - 0"
"","1036","Pus Cells.","1-2/HPF","","","Standard","Text","0 - 500","0 - 99999"
"","1037","Miscellaneous","","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1038","Bilirubin D.","0.1 - 0.8","mg/dl","","Standard","Decimal","0 - 500","0.1 - 0.8"
"","1039","Bilirubin I.","0.1 - 0.6","mg/dl","","Standard","Decimal","0 - 500","0.1 - 0.6"
"","1040","Calcium Phosphate Crystal","Nil","","","Standard","List","0 - 500","0 - 0"
"","1041","Uric Acid Crystal","Nil","","","Standard","List","0 - 500","0 - 0"
"","1042","Control","34 Sec","Sec","34 Sec","Standard","Decimal","34 - 34","34 - 34"
"","1043","TSH","0.30 - 5.00","µIU/mL","","Standard","Decimal","0 - 21","0 - 5.1"
