testExternalId,parameterExternalId,displayOrder,isRequired,unitOverride
t2043,p2256,27,true,
t2043,p2165,31,true,
t2044,p2078,1,true,
t2045,p2162,1,true,
t2046,p2232,1,true,
t2047,p2245,1,true,
t2048,p2253,1,true,
t2049,p2345,1,true,
t2050,p2013,1,true,
t2051,p2280,26,true,
t2052,p2023,28,true,
t2056,p2112,1,true,
t2057,p2145,1,true,
t2057,p2124,2,true,
t2057,p2123,3,true,
t2059,p2135,1,true,
t2060,p2134,1,true,
t2061,p2143,1,true,
t2061,p2348,2,true,
t2063,p2165,1,true,
t2064,p2105,1,true,
t2064,p2010,2,true,
t2064,p2103,3,true,
t2064,p2104,4,true,
t2065,p2196,2,true,
t2065,p2293,3,true,
t2065,p2200,4,true,
t2065,p2239,5,true,
t2065,p2238,6,true,
t2065,p2237,7,true,
t2065,p2271,8,true,
t2065,p2371,9,true,
t2065,p2256,9,true,
t2065,p2232,20,true,
t2065,p2254,20,true,
t2065,p2163,21,true,
t2065,p2094,21,true,
t2065,p2245,21,true,
t2065,p2241,21,true,
t2065,p2251,21,true,
t2065,p2085,21,true,
t2065,p2276,21,true,
t2065,p2083,21,true,
t2065,p2184,23,true,
t2065,p2186,24,true,
t2065,p2187,24,true,
t2065,p2188,25,true,
t2065,p2185,25,true,
t2066,p2224,1,true,
t2067,p2229,2,true,
t2068,p2156,37,true,
t2068,p2254,38,true,
t2068,p2232,39,true,
t2068,p2245,40,true,
t2068,p2161,41,true,
t2068,p2085,42,true,
t2068,p2083,43,true,
t2068,p2276,44,true,
t2068,p2242,45,true,
t2068,p2252,46,true,
t2068,p2081,47,true,
t2068,p2137,48,true,
t2068,p2256,49,true,
t2069,p2267,1,true,
t2070,p2271,1,true,
t2071,p2297,1,true,
t2072,p2299,1,true,
t2072,p2005,2,true,
t2072,p2300,3,true,
t2073,p2367,1,true,
t2074,p2371,1,true,
t2075,p2024,1,true,
t2076,p2051,1,true,
t2077,p2080,1,true,
t2078,p2151,1,true,
t2079,p2191,1,true,
t2080,p2204,1,true,
t2080,p2190,2,true,
t2081,p2193,1,true,
t2082,p2246,1,true,
t2083,p2288,1,true,
t2084,p2289,1,true,
t2085,p2301,1,true,
t2086,p2312,1,true,
t2086,p2310,2,true,
t2087,p2001,1,true,
t2088,p2020,1,true,
t2089,p2032,1,true,
t2090,p2034,1,true,
t2093,p2048,1,true,
t2094,p2075,1,true,
t2095,p2076,1,true,
t2096,p2087,1,true,
t2097,p2088,1,true,
t2098,p2089,1,true,
t2099,p2119,1,true,
t2100,p2121,1,true,
t2101,p2139,1,true,
t2102,p2140,1,true,
t2103,p2319,1,true,
t2103,p2359,2,true,
t2103,p2348,3,true,
t2103,p2144,4,true,
t2104,p2147,1,true,
t2105,p2170,1,true,
t2106,p2211,1,true,
t2107,p2268,1,true,
t2108,p2290,1,true,
t2109,p2334,1,true,
t2110,p2335,1,true,
t2111,p2002,2,true,
t2112,p2130,2,true,
t2112,p2131,3,true,
t2112,p2248,6,true,
t2112,p2096,7,true,
t2112,p2262,8,true,
t2112,p2257,9,true,
t2112,p2286,11,true,
t2112,p2292,12,true,
t2112,p2259,15,true,
t2113,p2336,1,true,
t2114,p2362,1,true,
t2116,p2171,1,true,pmol/L
t2117,p2172,1,true,
t2118,p2173,1,true,
t2119,p2175,1,true,
t2120,p2182,1,true,
t2121,p2219,1,true,
t2122,p2228,1,true,
t2123,p2228,1,true,
t2123,p2175,2,true,
t2123,p2275,3,true,
t2124,p2284,1,true,
t2125,p2275,1,true,
t2126,p2338,1,true,
t2127,p2339,1,true,
t2128,p2343,1,true,
t2129,p2338,1,true,
t2129,p2339,2,true,
t2129,p2353,3,true,
t2130,p2353,1,true,
t2132,p2130,2,true,
t2133,p2000,1,true,
t2134,p2009,1,true,
t2135,p2008,1,true,
t2136,p2016,1,true,
t2137,p2028,1,true,
t2138,p2027,1,true,
t2139,p2025,1,true,
t2140,p2026,1,true,
t2141,p2029,29,true,
t2142,p2030,1,true,
t2143,p2031,1,true,
t2144,p2036,1,true,
t2145,p2037,1,true,
t2146,p2038,1,true,
t2147,p2039,1,true,
t2148,p2040,1,true,
t2149,p2041,40,true,
t2149,p2149,41,true,
t2150,p2042,1,true,
t2151,p2043,1,true,
t2152,p2264,3,true,
t2154,p2049,1,true,
t2155,p2054,1,true,
t2156,p2021,1,true,
t2157,p2056,1,true,
t2158,p2060,1,true,
t2159,p2061,1,true,
t2160,p2066,1,true,
t2161,p2069,1,true,
t2162,p2070,1,true,
t2163,p2073,1,true,
t2164,p2074,1,true,
t2165,p2110,1,true,
t2166,p2111,1,true,
t2167,p2115,1,true,
t2168,p2113,1,true,
t2169,p2120,1,true,
t2170,p2128,1,true,
t2171,p2129,1,true,
t2172,p2136,1,true,
t2172,p2348,2,true,
t2173,p2141,1,true,
t2174,p2138,1,true,
t2174,p2348,2,true,
t2175,p2152,1,true,
t2176,p2153,1,true,
t2178,p2154,1,true,
t2179,p2067,5,true,
t2179,p2068,9,true,
t2179,p2071,11,true,
t2179,p2072,12,true,
t2179,p2064,13,true,
t2179,p2065,15,true,
t2179,p2053,20,true,
t2180,p2166,1,true,
t2181,p2167,1,true,
t2182,p2168,1,true,
