parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2253,t2031,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2031,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2031,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2031,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2084,t2031,,,,0.0-0.1,0.0,0.1,,,*10^9/l,
p2083,t2031,,,,,,10.0,,,%,parsed as less_than from: Less than 10
p2271,t2032,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2371,t2032,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2083,t2032,,,,,,10.0,,,%,parsed as less_than from: Less than 10
p2085,t2032,,,,0.0-1.0,0.0,1.0,,,%,
p2254,t2032,,,,40.0-75.0,40.0,75.0,,,%,
p2161,t2032,,,,1.0-6.0,1.0,6.0,,,%,
p2232,t2032,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2032,,,,2.0-10.0,2.0,10.0,,,%,
p2165,t2038,F,,,,,20.0,,,mm/1st hr,
p2165,t2038,M,,,,,10.0,,,mm/1st hr,
p2201,t2038,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2201,t2038,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2293,t2038,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2200,t2038,,,,40.0-52.0,40.0,52.0,,,%,
p2239,t2038,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2038,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2038,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2038,,,,11.0-16.0,11.0,16.0,,,%,
p2296,t2038,,,,35.0-56.0,35.0,56.0,,,fl,
p2271,t2038,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2240,t2038,,,,7.0-11.0,7.0,11.0,,,fL,
p2269,t2038,,,,9.0-17.0,9.0,17.0,,,-,
p2270,t2038,,,,1.08-2.82,1.08,2.82,,,mL/L,
p2260,t2038,,,,30.0-90.0,30.0,90.0,,,*10^9/l,
p2261,t2038,,,,0.11-0.45,0.11,0.45,,,-,
p2371,t2038,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2254,t2038,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2038,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2038,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2038,,,,1.0-6.0,1.0,6.0,,,%,
p2085,t2038,,,,0.0-1.0,0.0,1.0,,,%,
p2253,t2038,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2038,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2038,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2038,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2084,t2038,,,,0.0-0.1,0.0,0.1,,,*10^9/l,
p2083,t2038,,,,,,10.0,,,%,parsed as less_than from: Less than 10
p2282,t2039,,,,10.2-13.5,10.2,13.5,,,sec.,
p2216,t2039,,,,0.8-1.1,0.8,1.1,,,Ratio,
p2158,t2042,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2158,t2042,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2191,t2042,,,,,,,,,-,MANUAL_REVIEW: Negative
p2047,t2042,,,,,,,,,-,MANUAL_REVIEW: Negative
p2207,t2042,,,,,,,,,-,MANUAL_REVIEW: Negative
p2304,t2042,,,,,,,,,-,MANUAL_REVIEW: Negative
p2236,t2042,,,,,,,,,-,MANUAL_REVIEW: Negative
p2371,t2043,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2293,t2043,M,,,4.5-6.0,4.5,6.0,,,*10^12/l,
p2293,t2043,F,,,3.8-4.8,3.8,4.8,,,*10^12/l,
p2201,t2043,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2043,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2043,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2043,F,,,36.0-46.0,36.0,46.0,,,%,
p2239,t2043,,,,78.0-95.0,78.0,95.0,,,fl,
p2238,t2043,,,,27.0-32.0,27.0,32.0,,,pg,
p2237,t2043,,,,32.0-36.0,32.0,36.0,,,g/dl,
p2295,t2043,,,,11.0-16.0,11.0,16.0,,,%,
