parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2089,t2098,,,,,,,,,mIU/ml,"MANUAL_REVIEW: Female;Non Pregnant < 10.00Pregnant Female3-7   Days     5     - 501-2   Weeks    10    - 4722-3   Weeks    90    - 4,5903-4   Weeks    462   - 10,9404-5   Weeks    1,065 - 68,2485-6   Weeks    7,458 - 118,5156-7   Weeks    14,423- 175,6387-8   Weeks    31,510- 184,6288-12  Weeks    28,639- 224,91912-16 Weeks    9,870 - 106,91716-18 Weeks    7,924 - 56,552Male < 10.00"
p2182,t2120,,,,,,,,,ng/ml,MANUAL_REVIEW: (See below)
p2228,t2123,,,,,,,,,mIU/ml,MANUAL_REVIEW: Male: 1.5 – 12.4 mIU/mLFemale (Follicular phase): 3.5 – 12.5 mIU/mLFemale (Mid-cycle / Ovulatory): 4.7 – 21.5 mIU/mLFemale (Luteal phase): 1.7 – 7.7 mIU/mLPostmenopausal Female: 25.8 – 134.8 mIU/mL
p2175,t2123,,,,,,,,,mIU/ml,MANUAL_REVIEW: Male: 1.5 – 12.4 mIU/mlFemale (Follicular phase): 3.5 – 12.5 mIU/mlFemale (Mid-cycle peak / Ovulatory phase): 4.7 – 21.5 mIU/mlFemale (Luteal phase): 1.7 – 7.7 mIU/mlPostmenopausal Female: 25.8 – 134.8 mIU/ml
p2275,t2123,,,,,,,,,ng/ml,MANUAL_REVIEW: Male: 2.5 – 27.0 ng/mLFemale (Non-pregnant): 5.2 – 27.0 ng/mLPregnant (1st Trimester): 80.0 – 400.0 ng/mLPregnant (2nd Trimester): 110.0 – 330.0 ng/mLPregnant (3rd Trimester): 137.0 – 372.0 ng/mLPostmenopausal Female: 1.9 – 18.4 ng/mL
p2338,t2129,,,,1.067-5.238,1.067,5.238,,,nmol/l,
p2339,t2129,,,,60.0-180.0,60.0,180.0,,,nmol/L,
p2353,t2129,,,,0.37-5.31,0.37,5.31,,,µIU/mL,
p2038,t2146,,,,,,,,,-,MANUAL_REVIEW: Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10
p2264,t2152,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: <20Positive: >20
p2049,t2154,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2136,t2172,,,,10.0-100.0,10.0,100.0,,,ug/24hrs,
p2138,t2174,,,,30.0-350.0,30.0,350.0,,,ug/24h,
p2067,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2068,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2071,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2072,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2064,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2065,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2053,t2179,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2183,t2184,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.8Equivocal: 0.8 to 1.2Positive: > 1.2
p2202,t2185,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: < 0.8Equivocal: 0.8 to 1.2Positive: > 1.2
p2203,t2187,,,,,,,,,S/CO,MANUAL_REVIEW: Negative= < 0.9Borderline= 0.9 - 1.1Positive= > 1.1
p2209,t2194,,,,5.0-15.0,5.0,15.0,,,µmol/l,
p2210,t2198,,,,90.0-400.0,90.0,400.0,,,mg/dl,
p2212,t2198,,,,800.0-1800.0,800.0,1800.0,,,mg/dl,
p2213,t2198,,,,60.0-280.0,60.0,280.0,,,mg/dl,
p2243,t2204,,,,,,30.0,,,mg/24 Hours,parsed as less_than from: Less Than 30
p2274,t2212,,,,,,,,,nmol/l,MANUAL_REVIEW: Male: 0.50 - 5.20FemaleFollicular Phase: 0.50 - 6.50Luteal Phase: 8.00 - 87.00Pregnant Female1st trimester 01-12W: 10.0-182.02nd trimester 13-24W: 60.0-332.03rd trimester 25-40W: 185.0-960.0
p2347,t2219,,,,6.0-8.5,6.0,8.5,,,g/dL,
p2011,t2219,,,,3.5-4.7,3.5,4.7,,,g/dl,
p2018,t2219,,,,0.2-0.3,0.2,0.3,,,g/dL,
p2019,t2219,,,,0.4-0.9,0.4,0.9,,,g/dL,
p2086,t2219,,,,0.5-1.0,0.5,1.0,,,g/dL,
p2176,t2219,,,,0.7-1.5,0.7,1.5,,,g/dL,
p2003,t2219,,,,1.1-2.4,1.1,2.4,,,,
p2369,t2224,,,,2.0-8.0,2.0,8.0,,,mg/24 Hrs,
p2058,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2035,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2050,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2067,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2059,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2063,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2068,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2071,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2072,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2064,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2065,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2033,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2062,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2053,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2055,t2322,,,,,,,,,U/ml,MANUAL_REVIEW: (See below)
p2092,t2029,,,,,,,,,mg/dl,MANUAL_REVIEW: (See below)
p2347,t2225,,,,6.6-8.3,6.6,8.3,,,g/dl,
p2011,t2225,,,,,,,,,g/dl,MANUAL_REVIEW: AdultAge 18-60 years: 3.5 - 5.5Above 60 years: 3.4 - 4.8ChildAge 14-18 years: 3.2 - 4.54days - 14years: 3.8 - 5.4Newborns: 2.8 - 4.4
p2321,t2225,,,,1.8-3.4,1.8,3.4,,,mg/dl,
p2003,t2225,,,,1.1-2.4,1.1,2.4,,,,
p2363,t2226,,,,,,,,,mg/24 Hours,MANUAL_REVIEW: <80<300 (pregnancy)
p2348,t2226,,,,800.0-2000.0,800.0,2000.0,,,ml,
p2012,t2227,,,,,,,,,mg/g,MANUAL_REVIEW: (See Note)
p2091,t2233,,,,0.0-0.2,0.0,0.2,,,mg/dl,
p2093,t2234,,,,0.1-1.0,0.1,1.0,,,mg/dl,
p2101,t2235,,,,60.0-110.0,60.0,110.0,,,mg/dl,
p2106,t2236,,,,80.0-160.0,80.0,160.0,,,mg/dl,
p2356,t2237,,,,10.0-50.0,10.0,50.0,,,mg/dl,
p2107,t2237,,,,4.0-23.0,4.0,23.0,,,mg/dl,
p2356,t2238,,,,10.0-50.0,10.0,50.0,,,mg/dl,
p2107,t2238,,,,4.0-23.0,4.0,23.0,,,mg/dl,
p2114,t2243,,,,,,,,,U/L,MANUAL_REVIEW: Men : 24 - 204Women : 24 - 173
p2126,t2243,,,,,,25.0,,,u/l,parsed as less_than from: Less Than 25
p2329,t2243,,,,8.0-40.0,8.0,40.0,,,U/l,
p2223,t2243,,,,,,250.0,,,U/L,parsed as less_than from: < 250
p2101,t2246,,,,,,92.0,,,mg/dl,parsed as less_than from: Less Than 92
p2099,t2246,,,,,,180.0,,,mg/dl,parsed as less_than from: Less Than 180
p2100,t2246,,,,,,153.0,,,mg/dl,parsed as less_than from: Less Than 153
p2280,t2253,,,,1.0-14.0,1.0,14.0,,,mg/dl,
p2145,t2253,,,,20.0-275.0,20.0,275.0,,,mg/dl,
p2279,t2253,,,,,,,,,,MANUAL_REVIEW: 0.2
p2356,t2254,,,,15.0-43.0,15.0,43.0,,,mg/dl,
p2107,t2254,,,,8.0-22.0,8.0,22.0,,,mg/dl,
p2142,t2254,,,,,,,,,mg/dl,MANUAL_REVIEW: Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0
p2357,t2254,F,,,2.6-6.0,2.6,6.0,,,mg/dl,
p2357,t2254,M,,,3.5-7.2,3.5,7.2,,,mg/dl,
p2142,t2259,,,,,,,,,mg/dl,MANUAL_REVIEW: Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0
p2179,t2259,,,,,,,,,mL/Min/1.73m^2,MANUAL_REVIEW: >60 Normal Kidney15-60: Kidney disease<15: Kidney Failure
p2328,t2260,,,,135.0-145.0,135.0,145.0,,,mmol/L,
p2327,t2260,,,,3.4-5.5,3.4,5.5,,,mmol/L,
p2317,t2260,,,,95.0-110.0,95.0,110.0,,,mmol/L,
p2122,t2260,,,,8.5-10.5,8.5,10.5,,,mg/dl,
p2221,t2271,M,,,59.0-148.0,59.0,148.0,,,µg/dL,
p2221,t2271,F,,,37.0-145.0,37.0,145.0,,,µg/dL,
p2337,t2271,,,,274.0-385.0,274.0,385.0,,,µg/dL,
p2092,t2292,,,,,,,,,mg/dl,"MANUAL_REVIEW: Adult: 0.2 - 1.2Newborns, premature:24 Hours:        < 8.82nd Day:         1.3 - 11.33rd Day:         0.7 - 12.74th-6th Day:     0.1 - 12.6Child:>1 month:  0.2 - 1.0"
p2155,t2292,,,,0.3-0.8,0.3,0.8,,,mg/dl,
p2215,t2292,,,,0.1-0.3,0.1,0.3,,,mg/dl,
p2318,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Desirable: < 200Boderline High: 200 - 239High: > 240
p2350,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500
p2194,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: 35 - 60High Risk: < 35
p2226,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: < 130Borderline: 130 - 159High: > 160
p2125,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: 3.5 to 5.0High: > 5.0
p2367,t2305,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: < 30Borderline High: 30 to 40
p2190,t2080,,,,,,,,,,MANUAL_REVIEW: Negative <0.9Border Line 0.9 - 1.0Positive >1.0
p2046,t2273,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2
p2204,t2310,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2
p2044,t2310,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2
p2370,t2284,,,,2.0-6.0,2.0,6.0,,,ml,
p2130,t2284,,,,,,,,,,MANUAL_REVIEW: Grayish White to Pale Yellow
p2230,t2284,,,,,,,,,Minutes,MANUAL_REVIEW: With in 30 min
p2131,t2284,,,,,,,,,,MANUAL_REVIEW: Viscid
p2265,t2284,,,,7.0-8.0,7.0,8.0,,,,
p2333,t2284,,,,,,,,,million/ml,MANUAL_REVIEW: > 15 Million
p2007,t2284,,,,,,,,,%,MANUAL_REVIEW: > 50 %
p2331,t2284,,,,,,,,,%,MANUAL_REVIEW: < 30 %
p2174,t2284,,,,,,,,,,MANUAL_REVIEW: Positive
p2285,t2284,,,,0.0-4.0,0.0,4.0,,,,
p2326,t2277,,,,,,,,,mg/dl,MANUAL_REVIEW: Adults: 2.5 - 4.5Child:  4.0 - 7.0
p2112,t2003,,,,5.0-20.0,5.0,20.0,,,,
p2162,t2008,,,,0.04-0.4,0.04,0.4,,,*10^9/l,
p2201,t2010,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2201,t2010,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2192,t2012,,,,38.0-52.0,38.0,52.0,,,%,
p2238,t2015,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2016,,,,30.0-35.0,30.0,35.0,,,g/dl,
p2239,t2017,,,,75.0-100.0,75.0,100.0,,,fl,
p2271,t2019,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2299,t2021,,,,,,,,,%,MANUAL_REVIEW: Adult: 0.20 - 2.0Newborn: 2.00 - 6.0
p2346,t2022,,,,400.0-900.0,400.0,900.0,,,mg/dl,
p2293,t2023,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2367,t2024,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100
p2371,t2025,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2192,t2033,,,,38.0-52.0,38.0,52.0,,,%,
p2346,t2034,,,,450.0-1000.0,450.0,1000.0,,,mg/dl,
p2201,t2035,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2201,t2035,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2371,t2036,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2037,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2299,t2040,,,,,,,,,%,MANUAL_REVIEW: Adult:	0.20 - 2.0New Born:	2.00 - 6.0
p2078,t2044,,,,28.0-32.0,28.0,32.0,,,Seconds,
p2162,t2045,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2232,t2046,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2047,,,,2.0-10.0,2.0,10.0,,,%,
p2253,t2048,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2280,t2051,,,,,,35.0,,,mg/dl,parsed as less_than from: Less Than 35
p2023,t2052,,,,,,481.0,,,U/L,parsed as less_than from: Less Than 481
p2112,t2056,,,,5.0-20.0,5.0,20.0,,,,
p2135,t2059,,,,,,,,,,MANUAL_REVIEW: Negative
p2134,t2060,,,,,,,,,,MANUAL_REVIEW: Negative
p2165,t2063,F,,,,,18.0,,,mm/1st hr,
p2165,t2063,M,,,,,14.0,,,mm/1st hr,
p2224,t2066,,,,20.0-45.0,20.0,45.0,,,,
p2229,t2067,,,,30.0-180.0,30.0,180.0,,,U/L,
p2267,t2069,,,,400.0-1300.0,400.0,1300.0,,,mg/24 Hours,
p2271,t2070,,,,150.0-450.0,150.0,450.0,,,*10^9/l,
p2297,t2071,,,,4.5-45.3,4.5,45.3,,,nmol/l,
p2367,t2073,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100
p2371,t2074,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2095,t2295,,,,3.0-7.0,3.0,7.0,,,minutes,
p2127,t2296,,,,4.0-11.0,4.0,11.0,,,minutes,
p2078,t2299,,,,22.0-34.0,22.0,34.0,,,Sec.,
p2006,t2328,,,,,,,,,U/L,MANUAL_REVIEW: 8 - 52 U/L
p2080,t2077,,,,,,,,,lu/ml,MANUAL_REVIEW: Adult: Less than 200Child: Less than 150
p2151,t2078,,,,,,,,,S/CO,MANUAL_REVIEW: Negative < 0.9Borderline 0.9-1.2Positive >1.2
p2191,t2079,,,,,,,,,,MANUAL_REVIEW: Negative
p2193,t2081,,,,,,,,,,MANUAL_REVIEW: Negative
p2288,t2083,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 20Positive: > 20
p2289,t2084,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 25.0Positive: > 25.0Indication of Rheumatoid Arthritis: > 70
p2301,t2085,,,,,,,,,,MANUAL_REVIEW: Negative
p2303,t2288,,,,,,20.0,,,iu/ml,parsed as less_than from: <20
p2368,t2324,,,,,,,,,-,MANUAL_REVIEW: NON REACTIVE < 1.0BORDER LINE 1.0-4.0REACTIVE > 4.0
p2020,t2088,,,,,,10.0,,,ng/ml,parsed as less_than from: Less Than 10
p2032,t2089,,,,,,,,,U/mL,MANUAL_REVIEW: < 17 Negative> 17 Positive
p2034,t2090,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.8Borderline: 0.8 to 1.2Positive: > 1.2
p2048,t2093,,,,,,,,,,MANUAL_REVIEW: Negative
p2075,t2094,,,,,,,,,U/ml,MANUAL_REVIEW: < 18 Negative18 - 22 Borderline> 22 Positive
p2076,t2095,,,,,,,,,U/mL,MANUAL_REVIEW: < 18 Negative18 - 22 Borderline> 22 Positive
p2119,t2099,,,,,,35.0,,,U/ml,parsed as less_than from: Less Than 35
p2121,t2100,,,,,,37.0,,,u/ml,parsed as less_than from: Less Than 37
p2139,t2101,,,,138.0-690.0,138.0,690.0,,,nmol/l,
p2140,t2102,,,,69.0-345.0,69.0,345.0,,,nmol/l,
p2147,t2104,,,,0.0-6.0,0.0,6.0,,,mg/L,
p2170,t2105,,,,3.0-20.0,3.0,20.0,,,ng/ml,
p2268,t2107,,,,,,40.0,,,mAU/mL,parsed as less_than from: Less Than 40
p2290,t2108,,,,,,30.0,,,IU/mL,parsed as less_than from: Less Than 30
p2334,t2109,,,,,,,,,ug/g,MANUAL_REVIEW: Normal: <50Slightly Elevated: 50 - 120Significantly Elevated: >120
p2335,t2110,,,,,,,,,,MANUAL_REVIEW: Negative
p2002,t2111,,,,5.0-27.0,5.0,27.0,,,pmol/L,
p2116,t2291,,,,0.0-6.0,0.0,6.0,,,mg/L,
p2336,t2113,,,,,,,,,,MANUAL_REVIEW: Negative
p2171,t2027,,,,1.2-4.2,1.2,4.2,,,pg/ml,
p2171,t2116,,,,3.058-6.764,3.058,6.764,,,pmol/L,
p2172,t2117,,,,10.53-21.16,10.53,21.16,,,pmol/L,
p2173,t2118,,,,,,,,,Pg/ml,"MANUAL_REVIEW: Male: 15.0 - 50.0, Female: < 4.20"
p2175,t2119,,,,,,,,,mIU/ml,MANUAL_REVIEW: Male: 1.5 – 12.4 mIU/mlFemale (Follicular phase): 3.5 – 12.5 mIU/mlFemale (Mid-cycle peak / Ovulatory phase): 4.7 – 21.5 mIU/mlFemale (Luteal phase): 1.7 – 7.7 mIU/mlPostmenopausal Female: 25.8 – 134.8 mIU/ml
p2219,t2121,,,,10.0-65.0,10.0,65.0,,,pg/mL,
p2228,t2122,,,,,,,,,mIU/ml,MANUAL_REVIEW: Male: 1.5 – 12.4 mIU/mLFemale (Follicular phase): 3.5 – 12.5 mIU/mLFemale (Mid-cycle / Ovulatory): 4.7 – 21.5 mIU/mLFemale (Luteal phase): 1.7 – 7.7 mIU/mLPostmenopausal Female: 25.8 – 134.8 mIU/mL
p2284,t2124,,,,14.5-87.1,14.5,87.1,,,pg/mL,
p2275,t2125,,,,,,,,,ng/ml,MANUAL_REVIEW: Male: 2.5 – 27.0 ng/mLFemale (Non-pregnant): 5.2 – 27.0 ng/mLPregnant (1st Trimester): 80.0 – 400.0 ng/mLPregnant (2nd Trimester): 110.0 – 330.0 ng/mLPregnant (3rd Trimester): 137.0 – 372.0 ng/mLPostmenopausal Female: 1.9 – 18.4 ng/mL
p2338,t2126,,,,1.067-5.238,1.067,5.238,,,nmol/l,
p2339,t2127,,,,60.0-180.0,60.0,180.0,,,nmol/L,
p2343,t2128,,,,,,,,,ng/dL,MANUAL_REVIEW: Males: 175 - 780Females: 10 - 75
p2353,t2130,,,,0.37-5.31,0.37,5.31,,,µIU/mL,
p2171,t2306,,,,2.5-3.9,2.5,3.9,,,pg/ml,
p2172,t2307,,,,0.61-1.12,0.61,1.12,,,ng/dl,
p2281,t2028,,,,,,,,,ng/ml,MANUAL_REVIEW: < 40 years: 0.01 - 1.5140 - 49 years: 0.00 - 2.2750 - 59 years: 0.02 - 2.89> 60 years: 0.29 - 4.96
p2001,t2087,,,,,,,,,ng/ml,MANUAL_REVIEW: Deficiency: <10Insufficiency: 10-29Sufficiency: 30-100Potential Toxicity: >100
p2000,t2133,,,,,,,,,ng/mL,MANUAL_REVIEW: Reference ValuesPediatric Boy1 month 0.0 - 8.02 months 3.6 - 13.73 months 1.7 - 4.0Pediatric Girl1 month 2.4 - 16.8 2 months 1.6 - 9.7 3 months 0.1 - 3.1Pre- Peubertal Child 0.1-1.7 Adult FemaleFemale Follicular Phase 0.1 - 0.8Luteal Phase 0.6 - 2.3Ovulatory phase 0.3 - 1.4Late pregnancy 2.0 - 12Menopause 0.13 - 0.51Male Adult Male 0.5 - 2.1
p2009,t2134,,,,7.2-63.3,7.2,63.3,,,pg/ml,
p2008,t2135,,,,,,,,,U/L,MANUAL_REVIEW: Serum < 15CSF < 9Fluid < 30
p2016,t2136,M,,,0.35-3.15,0.35,3.15,,,ng/ml,
p2016,t2136,F,,,0.4-3.4,0.4,3.4,,,ng/ml,
p2028,t2137,,,,,,,,,-,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2027,t2138,,,,,,,,,-,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2025,t2139,,,,,,,,,,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2026,t2140,,,,,,,,,,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2029,t2141,,,,15.0-70.0,15.0,70.0,,,ng/dl,
p2030,t2142,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: < 10.0Positive: > 10.0
p2031,t2143,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: < 10.0Positive: > 10.0
p2036,t2144,,,,,,,,,U/ml,MANUAL_REVIEW: Negative < 9.0Borderline 9.0 - 11.0Positive > 11.0
p2037,t2145,,,,,,,,,U/ml,MANUAL_REVIEW: Negative < 9.0Borderline 9.0 - 11.0Positive > 11.0
p2039,t2147,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: <15Positive: >15
p2040,t2148,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: <15Positive: >15
p2042,t2150,,,,,,,,,-,MANUAL_REVIEW: Non-Reactive: < 1.0Reactive: > 1.0
p2043,t2151,,,,,,,,,-,MANUAL_REVIEW: Non-Reactive: < 1.1Reactive: > 1.1
p2054,t2155,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: <15Positive: >15
p2021,t2156,,,,,,,,,AU/ml,MANUAL_REVIEW: Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10
p2056,t2157,,,,,,,,,ng/mL,MANUAL_REVIEW: Males:>2 Years 14-466>18 Years 0.73-16.05Females:18-25 Years 0.96 - 13.3426-30 Years 0.17 - 7.3731-35 Years 0.07 - 7.3536-40 Years 0.03 - 7.1541-45 Years 0.00 - 3.27=>46 Years 0.00 - 1.15
p2060,t2158,,,,,,,,,,MANUAL_REVIEW: Negative: < 10.0Positive: > 10.0
p2061,t2159,,,,,,,,,,MANUAL_REVIEW: Negative: < 10.0Positive: > 10.0
p2066,t2160,,,,,,20.0,,,AU/ml,parsed as less_than from: Less Than 20
p2069,t2161,,,,,,20.0,,,Au/ml,parsed as less_than from: Less Than 20
p2070,t2162,,,,,,,,,-,MANUAL_REVIEW: Negative : <60.0Equivocal : 60.0 to 100.0Positive : >= 100.0
p2073,t2163,,,,,,,,,IU/ml,MANUAL_REVIEW: Normal 4.11High  =4.11
p2074,t2164,,,,,,30.0,,,IU/ml,parsed as less_than from: Less Than 30
p2110,t2165,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10
p2111,t2166,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1
p2115,t2167,,,,0.5-3.0,0.5,3.0,,,ng/ml,
p2113,t2168,,,,,,,,,ng/ml,MANUAL_REVIEW: Smoker: 1.0 - 7.0Non-Smoker: 0.0 - 5.0
p2120,t2169,,,,,,,,,U/ml,MANUAL_REVIEW: Less Than: 30
p2128,t2170,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10
p2129,t2171,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10
p2141,t2173,,,,42.0-218.0,42.0,218.0,,,ug/l,
p2152,t2175,,,,,,,,,,MANUAL_REVIEW: Negative: < 9.0Borderline: 9.0 to 11.0Positive: > 11.0
p2153,t2176,,,,,,,,,,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1
p2154,t2178,,,,0.8-2.0,0.8,2.0,,,ng/ml,
p2166,t2180,,,,,,,,,pg/mL,MANUAL_REVIEW: Male: < 87Female:Follicular Phase: 15 - 112Periovulatory Phase: 136 - 251Luteal Phase: 48 - 172Post Menopausal: 10 - 66Hormonal Contraceptives: 15 - 95
p2167,t2181,,,,,,,,,pg/mL,MANUAL_REVIEW: Male : < 87Female :Follicular Phase 15 - 112Preovulatory Phase 136 - 251Luteal Phase 48 - 172Post Menopausal 10 - 66Hormonal Contraceptives 15 - 95
p2168,t2182,,,,,,500.0,,,ng/ml,parsed as less_than from: Less Than 500
p2169,t2183,,,,200.0-400.0,200.0,400.0,,,mg/dl,
p2189,t2186,,,,,,,,,%,MANUAL_REVIEW: Normal          <5.7%Pre-Diabetes  5.7 - 6.4%Diabetes:       >6.4%
p2197,t2188,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2198,t2189,,,,,,,,,U/ml,MANUAL_REVIEW: Negative: < 0.9Borderline: 1.0 - 1.1Positive: > 1.2
p2199,t2190,,,,,,,,,S/CO,MANUAL_REVIEW: < 0.8 Negative0.8 - 1.2 Borderline> 1.2 Positive
p2205,t2191,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2206,t2192,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1
p2208,t2193,,,,5.9-16.0,5.9,16.0,,,µmol/l,
p2210,t2195,,,,20.0-300.0,20.0,300.0,,,mg/dl,
p2212,t2196,,,,800.0-1800.0,800.0,1800.0,,,mg/dl,
p2213,t2197,,,,60.0-280.0,60.0,280.0,,,mg/dl,
p2218,t2199,,,,,,,,,uIU/ml,MANUAL_REVIEW: Child upto 12 years: < 10Adult (Normal): 0.7 - 9.0Diabetic (Type 2): 0.7 - 25
p2217,t2200,,,,,,,,,ng/ml,MANUAL_REVIEW: 1 - 5 years 45 - 3056 - 10 years 50 - 41011 - 15 years 80 - 90016 - 20 years 75 - 850> 20 years 60 - 350
p2220,t2201,,,,1.15-1.35,1.15,1.35,,,mmol/l,
p2225,t2202,,,,4.6-23.0,4.6,23.0,,,mg/dl,
p2057,t2203,,,,,,,,,U/ml,MANUAL_REVIEW: Negative < 10.0Positive > 10.0
p2249,t2206,,,,,,,,,-,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1
p2250,t2207,,,,,,,,,-,MANUAL_REVIEW: Negative: < 0.8Borderline: 0.8 to 1.2Positive: > 1.2
p2258,t2208,,,,275.0-297.0,275.0,297.0,,,mosmol/kg,
p2281,t2209,,,,,,4.0,,,ng/ml,parsed as less_than from: < 4.0
p2272,t2210,,,,0.0-100.0,0.0,100.0,,,pg/ml,
p2273,t2211,,,,,,0.5,,,ng/mL,parsed as less_than from: Less Than 0.5
p2287,t2213,,,,,,,,,IU/ml,MANUAL_REVIEW: (See below)
